profile_id,region,shade,skin_tone,undertone,lip_pigmentation,lip_condition,hedonic_scale,preference
P001,Jawa Barat,Caramel,Light,Olive,Dark / Hyperpigmented,Dry,5,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Everyday
P002,Sulawesi Selatan,Caramel,Light,Warm,Light,Chapped,5,Color: Terracotta | Intensity: Natural | Finish: Matte | Mood: Fresh | Occasion: Campus / Work
P003,Jawa Tengah,Caramel,Medium,Neutral,Light,Textured / Lines,6,Color: Nude | Intensity: Bold | Finish: Satin | Mood: Bold | Occasion: Special occasion
P004,DI Yogyakarta,Caramel,Medium,Warm,Light,Normal,5,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P005,DI Yogyakarta,Caramel,Light,Cool,Medium,Normal,8,Color: Coral | Intensity: Natural | Finish: Satin | Mood: Energetic | Occasion: Everyday
P006,Jawa Barat,Caramel,Medium,Warm,Medium,Normal,7,Color: Pink | Intensity: Medium | Finish: Glossy | Mood: Elegant | Occasion: Date
P007,DKI Jakarta,Caramel,Light,Neutral,Light,Dry,5,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Elegant | Occasion: Date
P008,Kalimantan Timur,Caramel,Medium,Warm,Medium,Normal,5,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Campus / Work
P009,Banten,Caramel,Fair,Olive,Two-Toned,Chapped,6,Color: Brown | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Party
P010,Sumatera Utara,Caramel,Light,Warm,Dark / Hyperpigmented,Dry,6,Color: Berry | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Date
P011,Jawa Barat,Caramel,Fair,Cool,Light,Textured / Lines,8,Color: Red | Intensity: Bold | Finish: Satin | Mood: Soft | Occasion: Party
P012,DI Yogyakarta,Caramel,Light,Neutral,Medium,Dry,4,Color: Brown | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P013,DKI Jakarta,Caramel,Medium,Warm,Two-Toned,Chapped,7,Color: Terracotta | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Special occasion
P014,Sumatera Utara,Caramel,Tan,Neutral,Medium,Textured / Lines,6,Color: Mauve | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Date
P015,Jawa Timur,Caramel,Fair,Warm,Light,Normal,7,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Party
P016,Sumatera Utara,Caramel,Light,Warm,Dark / Hyperpigmented,Normal,5,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Fresh | Occasion: Everyday
P017,Jawa Barat,Caramel,Light,Cool,Light,Chapped,9,Color: Red | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Everyday
P018,DI Yogyakarta,Caramel,Fair,Olive,Dark / Hyperpigmented,Normal,5,Color: Mauve | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Everyday
P019,Jawa Barat,Caramel,Fair,Neutral,Dark / Hyperpigmented,Dry,5,Color: Coral | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Date
P020,DI Yogyakarta,Caramel,Medium,Warm,Medium,Normal,5,Color: Mauve | Intensity: Natural | Finish: Glossy | Mood: Elegant | Occasion: Campus / Work
P021,Sulawesi Selatan,Peach,Tan,Cool,Medium,Normal,6,Color: Coral | Intensity: Bold | Finish: Satin | Mood: Soft | Occasion: Date
P022,Jawa Timur,Peach,Light,Warm,Dark / Hyperpigmented,Dry,5,Color: Nude | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Everyday
P023,Jawa Barat,Peach,Tan,Cool,Light,Dry,8,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Soft | Occasion: Special occasion
P024,Jawa Barat,Peach,Medium,Cool,Dark / Hyperpigmented,Dry,2,Color: Mauve | Intensity: Natural | Finish: Satin | Mood: Soft | Occasion: Party
P025,Sulawesi Selatan,Peach,Fair,Warm,Light,Dry,7,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Special occasion
P026,Jawa Tengah,Peach,Light,Cool,Two-Toned,Normal,8,Color: Terracotta | Intensity: Bold | Finish: Glossy | Mood: Fun | Occasion: Special occasion
P027,Bali,Peach,Light,Warm,Medium,Normal,5,Color: Brown | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Everyday
P028,Kalimantan Timur,Peach,Tan,Neutral,Medium,Chapped,5,Color: Brown | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Everyday
P029,DKI Jakarta,Peach,Tan,Cool,Dark / Hyperpigmented,Chapped,6,Color: Pink | Intensity: Natural | Finish: Glossy | Mood: Fresh | Occasion: Special occasion
P030,Jawa Tengah,Peach,Light,Warm,Light,Dry,6,Color: Mauve | Intensity: Natural | Finish: Satin | Mood: Bold | Occasion: Special occasion
P031,Kalimantan Timur,Peach,Fair,Cool,Medium,Normal,6,Color: Brown | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Everyday
P032,Jawa Barat,Peach,Fair,Warm,Two-Toned,Normal,8,Color: Berry | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Everyday
P033,Jawa Barat,Peach,Light,Olive,Two-Toned,Normal,6,Color: Terracotta | Intensity: Bold | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P034,Jawa Tengah,Peach,Light,Warm,Medium,Normal,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Soft | Occasion: Date
P035,Bali,Peach,Fair,Warm,Two-Toned,Normal,9,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Fresh | Occasion: Special occasion
P036,DKI Jakarta,Peach,Fair,Cool,Two-Toned,Normal,7,Color: Brown | Intensity: Natural | Finish: Glowy | Mood: Fun | Occasion: Party
P037,Jawa Tengah,Peach,Light,Neutral,Medium,Dry,7,Color: Nude | Intensity: Natural | Finish: Glowy | Mood: Fresh | Occasion: Party
P038,Banten,Peach,Medium,Cool,Light,Chapped,4,Color: Coral | Intensity: Medium | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P039,Banten,Peach,Fair,Cool,Dark / Hyperpigmented,Normal,5,Color: Nude | Intensity: Bold | Finish: Matte | Mood: Bold | Occasion: Date
P040,DKI Jakarta,Peach,Medium,Warm,Medium,Normal,5,Color: Mauve | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Special occasion
P041,Jawa Barat,Maple,Tan,Warm,Medium,Normal,8,Color: Pink | Intensity: Bold | Finish: Matte | Mood: Bold | Occasion: Campus / Work
P042,DI Yogyakarta,Maple,Tan,Neutral,Medium,Dry,6,Color: Brown | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Everyday
P043,DI Yogyakarta,Maple,Medium,Warm,Light,Chapped,7,Color: Berry | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Date
P044,Jawa Tengah,Maple,Tan,Cool,Medium,Normal,6,Color: Terracotta | Intensity: Natural | Finish: Glossy | Mood: Fun | Occasion: Date
P045,Jawa Barat,Maple,Tan,Neutral,Medium,Normal,6,Color: Mauve | Intensity: Bold | Finish: Matte | Mood: Fresh | Occasion: Special occasion
P046,Jawa Tengah,Maple,Light,Neutral,Medium,Normal,6,Color: Coral | Intensity: Natural | Finish: Glossy | Mood: Fresh | Occasion: Campus / Work
P047,Sumatera Utara,Maple,Fair,Warm,Medium,Dry,5,Color: Red | Intensity: Medium | Finish: Glossy | Mood: Elegant | Occasion: Special occasion
P048,DKI Jakarta,Maple,Medium,Warm,Dark / Hyperpigmented,Normal,7,Color: Coral | Intensity: Bold | Finish: Matte | Mood: Soft | Occasion: Date
P049,Jawa Barat,Maple,Medium,Neutral,Dark / Hyperpigmented,Dry,5,Color: Red | Intensity: Medium | Finish: Glossy | Mood: Elegant | Occasion: Campus / Work
P050,Sumatera Utara,Maple,Fair,Warm,Medium,Normal,6,Color: Coral | Intensity: Bold | Finish: Glowy | Mood: Energetic | Occasion: Everyday
P051,Jawa Barat,Maple,Tan,Cool,Dark / Hyperpigmented,Dry,6,Color: Coral | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P052,Banten,Maple,Medium,Cool,Light,Dry,4,Color: Mauve | Intensity: Bold | Finish: Glowy | Mood: Elegant | Occasion: Everyday
P053,Jawa Barat,Maple,Tan,Olive,Two-Toned,Normal,6,Color: Red | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P054,Sulawesi Selatan,Maple,Fair,Olive,Medium,Textured / Lines,5,Color: Terracotta | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Date
P055,DKI Jakarta,Maple,Tan,Warm,Light,Dry,4,Color: Brown | Intensity: Bold | Finish: Satin | Mood: Bold | Occasion: Everyday
P056,Sumatera Utara,Maple,Tan,Neutral,Medium,Normal,6,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Soft | Occasion: Campus / Work
P057,Jawa Timur,Maple,Tan,Neutral,Dark / Hyperpigmented,Dry,4,Color: Nude | Intensity: Natural | Finish: Glossy | Mood: Fun | Occasion: Campus / Work
P058,Banten,Maple,Light,Warm,Dark / Hyperpigmented,Chapped,6,Color: Pink | Intensity: Medium | Finish: Matte | Mood: Fun | Occasion: Campus / Work
P059,Jawa Tengah,Maple,Medium,Cool,Dark / Hyperpigmented,Chapped,9,Color: Berry | Intensity: Medium | Finish: Satin | Mood: Soft | Occasion: Everyday
P060,Jawa Tengah,Maple,Tan,Warm,Medium,Normal,5,Color: Berry | Intensity: Medium | Finish: Matte | Mood: Energetic | Occasion: Date
P061,Sulawesi Selatan,Berry,Light,Cool,Medium,Dry,6,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Energetic | Occasion: Campus / Work
P062,Kalimantan Timur,Berry,Fair,Warm,Dark / Hyperpigmented,Normal,6,Color: Nude | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Date
P063,DI Yogyakarta,Berry,Medium,Warm,Medium,Normal,4,Color: Pink | Intensity: Medium | Finish: Satin | Mood: Energetic | Occasion: Everyday
P064,DI Yogyakarta,Berry,Fair,Cool,Medium,Dry,3,Color: Brown | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Date
P065,Kalimantan Timur,Berry,Medium,Warm,Medium,Normal,6,Color: Pink | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Date
P066,DI Yogyakarta,Berry,Fair,Olive,Dark / Hyperpigmented,Dry,4,Color: Terracotta | Intensity: Bold | Finish: Glossy | Mood: Elegant | Occasion: Campus / Work
P067,Jawa Tengah,Berry,Light,Warm,Medium,Dry,5,Color: Terracotta | Intensity: Bold | Finish: Satin | Mood: Elegant | Occasion: Special occasion
P068,Banten,Berry,Medium,Warm,Two-Toned,Dry,8,Color: Nude | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Party
P069,Kalimantan Timur,Berry,Light,Warm,Medium,Chapped,7,Color: Berry | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Campus / Work
P070,Sulawesi Selatan,Berry,Fair,Warm,Light,Normal,6,Color: Red | Intensity: Bold | Finish: Matte | Mood: Energetic | Occasion: Special occasion
P071,Kalimantan Timur,Berry,Light,Warm,Medium,Dry,7,Color: Pink | Intensity: Natural | Finish: Glossy | Mood: Soft | Occasion: Campus / Work
P072,Jawa Timur,Berry,Light,Warm,Medium,Dry,5,Color: Nude | Intensity: Natural | Finish: Glowy | Mood: Elegant | Occasion: Everyday
P073,Bali,Berry,Light,Cool,Medium,Chapped,6,Color: Brown | Intensity: Bold | Finish: Glowy | Mood: Fun | Occasion: Party
P074,Jawa Tengah,Berry,Medium,Warm,Light,Dry,6,Color: Nude | Intensity: Natural | Finish: Glowy | Mood: Soft | Occasion: Campus / Work
P075,Sulawesi Selatan,Berry,Tan,Cool,Medium,Dry,5,Color: Nude | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Party
P076,Jawa Timur,Berry,Light,Cool,Two-Toned,Normal,6,Color: Berry | Intensity: Medium | Finish: Glowy | Mood: Elegant | Occasion: Party
P077,Jawa Timur,Berry,Fair,Warm,Dark / Hyperpigmented,Normal,5,Color: Mauve | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Date
P078,Sulawesi Selatan,Berry,Medium,Warm,Light,Dry,7,Color: Brown | Intensity: Medium | Finish: Glowy | Mood: Fresh | Occasion: Date
P079,Jawa Tengah,Berry,Medium,Neutral,Medium,Normal,6,Color: Berry | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Campus / Work
P080,Jawa Tengah,Berry,Medium,Neutral,Two-Toned,Dry,7,Color: Red | Intensity: Bold | Finish: Satin | Mood: Fresh | Occasion: Party
P081,DI Yogyakarta,Red,Light,Olive,Dark / Hyperpigmented,Dry,5,Color: Mauve | Intensity: Medium | Finish: Matte | Mood: Soft | Occasion: Party
P082,DI Yogyakarta,Red,Medium,Neutral,Light,Textured / Lines,7,Color: Nude | Intensity: Bold | Finish: Glowy | Mood: Fun | Occasion: Everyday
P083,Sumatera Utara,Red,Light,Neutral,Medium,Normal,6,Color: Terracotta | Intensity: Medium | Finish: Satin | Mood: Fun | Occasion: Campus / Work
P084,Banten,Red,Tan,Warm,Medium,Textured / Lines,6,Color: Mauve | Intensity: Natural | Finish: Glowy | Mood: Energetic | Occasion: Party
P085,Jawa Timur,Red,Medium,Warm,Medium,Normal,6,Color: Red | Intensity: Bold | Finish: Matte | Mood: Fun | Occasion: Special occasion
P086,Kalimantan Timur,Red,Medium,Neutral,Dark / Hyperpigmented,Chapped,6,Color: Pink | Intensity: Bold | Finish: Glowy | Mood: Soft | Occasion: Party
P087,Jawa Timur,Red,Fair,Cool,Medium,Chapped,5,Color: Coral | Intensity: Medium | Finish: Glossy | Mood: Soft | Occasion: Party
P088,Sumatera Utara,Red,Light,Warm,Light,Chapped,5,Color: Terracotta | Intensity: Medium | Finish: Glowy | Mood: Energetic | Occasion: Everyday
P089,Bali,Red,Fair,Neutral,Light,Chapped,6,Color: Nude | Intensity: Medium | Finish: Satin | Mood: Bold | Occasion: Everyday
P090,DKI Jakarta,Red,Medium,Warm,Light,Textured / Lines,4,Color: Brown | Intensity: Natural | Finish: Matte | Mood: Elegant | Occasion: Campus / Work
P091,Jawa Tengah,Red,Medium,Olive,Two-Toned,Chapped,4,Color: Mauve | Intensity: Bold | Finish: Matte | Mood: Elegant | Occasion: Campus / Work
P092,Bali,Red,Light,Warm,Dark / Hyperpigmented,Dry,7,Color: Berry | Intensity: Natural | Finish: Matte | Mood: Soft | Occasion: Date
P093,Jawa Barat,Red,Fair,Cool,Light,Dry,5,Color: Nude | Intensity: Medium | Finish: Glowy | Mood: Fun | Occasion: Campus / Work
