,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,category,joined,brand,product,shade,img_url,shade_description_original,id,validation,img_name,mean_lab,peak_lab,sd_color,ground_truth,ground_truth_CIELAB,diff_lab,diff_peak_black,diff_peak_white,mean_lab_2,peak_lab_2,diff_lab_2,mean_lab_3,peak_lab_3,diff_lab_3,Claude_CIELAB,Claude_message,diff_llm_lab,is_list_LLM,Claude_message_2,Claude_CIELAB_2,is_list_LLM_2,diff_llm_lab_2,hex_colors,Circle,color_group,median_hex_group,median_hex_circle
0,11,11,11,blush,beautyblender bounce liquid whip cream blush playful peach,beautyblender,bounce liquid whip cream blush,playful peach,https://beautyblender.com/cdn/shop/products/BOUNCE_Blush_PlayfulPeach_Swatch_v1_RGB.jpg?v=1675277361&width=1200,soft golden peach,12,True,BOUNCE_Blush_PlayfulPeach_Swatch_v1_RGB.jpg,"[69.8374469386761, 19.594754172039487, 14.777621599772296]","[99.95654949078397, 0.009400760763667027, 0.02095663488648203]",63.31804778809753,1,[54.96060499 35.61451331 28.01439903],15.04682528013838,99.9563944404208,0.0354416236625792,"[69.87572625533926, 19.59832260266392, 14.775829689372433]","[99.95654949078397, 0.009400760763667027, 0.02095663488648203]",15.071164273339964,"[59.94168048839259, 27.733013523134453, 21.367786677593138]","[99.95654949078397, 0.009400760763667027, 0.02095663488648203]",5.852379895662136,"[57, 35, 33]","{'id': 'msg_01V1rNPYsh2W47GEM5uLni79', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[57, 35, 33]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 106, 'output_tokens': 12}}",3.499178118482741,True,"{'id': 'msg_016YdDBQeAeyW7sZ7tSL5hNK', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[46, 31, 24]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 132, 'output_tokens': 12}}","[46, 31, 24]",True,9.200989429363997,#a55646,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#a55646;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
1,16,16,16,blush,burt's bees blush with vitamin e 1205 bare peach,burt's bees,blush with vitamin e,1205 bare peach,https://images.ulta.com/is/image/Ulta/2518244sm?op_sharpen=1&resMode=bilin&qlt=85&wid=1000&hei=1000&fmt=webp,warm peach ideal for fair to tan skin tones,19,True,ulta17.jpg,"[82.45776580181948, 11.296225863735131, 12.005661197223748]","[99.90264663089113, 0.029073745224372782, 0.05846796141579791]",40.80086891161945,1,[68.10902819 26.05111245 25.0958694 ],14.026629874975455,99.90187927130566,0.0917109704262154,"[74.85714724906931, 16.119334215886404, 16.453792863584216]","[99.78787728255814, 0.08214009846141401, 0.12657703456380176]",7.71963071993119,"[74.01594476896143, 17.846532027932906, 18.716844943806166]","[99.90557412741487, 0.027920877346376827, 0.05694040514654386]",6.3620903453384,"[67, 39, 38]","{'id': 'msg_01ToWy1Rtgm4triStACKnn5T', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[67, 39, 38]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 12}}",6.085316888707313,True,"{'id': 'msg_01Vp74sNMUXfrgrRSLc2nrvJ', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[50, 36, 28]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[50, 36, 28]",True,16.7556612770397,#b85b49,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#b85b49;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
2,19,19,19,blush,chantecaille philanthropy cheek shade elephant smitten,chantecaille,philanthropy cheek shade,elephant smitten,https://cdn.shopify.com/s/files/1/1951/2637/products/CHEEK_SHADE_SMITTEN_Elephant_copy_1.jpg?v=1701356882&width=600,soft peach,22,True,CHEEK_SHADE_SMITTEN_Elephant_copy_1.jpg,"[60.6103940129083, 6.592228998547666, 4.947338021005265]","[99.77217074304632, -0.024716610519670557, 0.03421134935410741]",62.683230021938165,1,[53.19454779 40.00804245 23.16468087],19.023114734412825,99.7678425170443,0.1399268109484442,"[60.60752585525606, 6.595038689552968, 4.948883731228215]","[99.77217074304632, -0.024716610519670557, 0.03421134935410741]",19.0200961897014,"[46.58107941207568, 9.48882146236052, 7.118163908911179]","[99.77217074304632, -0.024716610519670557, 0.03421134935410741]",16.776843798867315,"[40, 50, 20]","{'id': 'msg_01XFXTUaK1DmYx2PGzEiC28h', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[40, 50, 20]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 12}}",13.725847634060909,True,"{'id': 'msg_01HVECgMMtimDfx1vwYpGe1a', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[44, 50, 27]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[44, 50, 27]",True,9.723992070939186,#b83c3e,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#b83c3e;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
3,58,58,58,blush,kosas color & light: pressed powder blush & highlighter duo papaya 1972,kosas,color & light: pressed powder blush & highlighter duo,papaya 1972,https://www.sephora.com/productimages/sku/s2289270-av-01-zoom.jpg?imwidth=612,warm peach,63,True,s2289270-av-01-zoom.jpg,"[71.98339250534562, 13.745725109323704, 11.833244695259172]","[99.69933726292157, 0.09609918402164741, 0.16524473709298437]",52.36226189510092,1,[66.54880022 17.89290894 15.5372925 ],5.235997972110203,99.69202358648502,0.2780453317517798,"[71.98339250534562, 13.745725109323647, 11.833244695259214]","[99.69933726292157, 0.09609918402164741, 0.16524473709298437]",5.235997972110213,"[62.597494762983985, 19.391840341619005, 16.698314066807086]","[99.69933726292157, 0.09609918402164741, 0.16524473709298437]",3.402347965546201,"[54.0, 27.0, 19.0]","{'id': 'msg_01HuG4KdB12a3zQ6dF8Dj3oU', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[54.0, 27.0, 19.0]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 18}}",11.999406643046074,True,"{'id': 'msg_01FnbQ5d2QzwtiABgscNjyCB', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[51, 18, 22]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[51, 18, 22]",True,14.51831350292495,#a16d54,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#a16d54;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
4,61,61,61,blush,lime crime softwear blush soft matte wifi,lime crime,softwear blush soft matte,wifi,"https://images.ulta.com/is/image/Ulta/2547359?id=fCPaz3&fmt=jpg&fit=constrain,1&wid=260&hei=314&op_sharpen=1&resMode=bilin",warm terracotta peach matte,67,True,ulta64.jpg,"[70.44984835868848, 25.588156988218426, 0.30328875871121763]","[49.77162147047382, 44.636082079952565, 37.386923336990286]",73.12490457018137,1,[50.78973315 43.22022914 40.27700753],27.167809340641043,44.44832229408278,44.79724484124437,"[70.44984835868848, 25.588156988218426, 0.30328875871121763]","[49.77162147047382, 44.636082079952565, 37.386923336990286]",27.167809340641043,"[70.44984835868848, 25.588156988218426, 0.30328875871121763]","[49.77162147047382, 44.636082079952565, 37.386923336990286]",27.167809340641043,"[50, 45, 35]","{'id': 'msg_01Xr8k2UndTnpTdRLEam75Xq', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[50, 45, 35]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 106, 'output_tokens': 12}}",3.345041927808644,True,"{'id': 'msg_0155L49WWdF3umZ3x92o8RsY', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[52, 38, 37]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 132, 'output_tokens': 12}}","[52, 38, 37]",True,2.2346065952760874,#c35e3e,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c35e3e;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
5,66,66,66,blush,mac cosmetics powder blush melba,mac cosmetics,powder blush,melba,https://sdcdn.io/mac/us/mac_sku_M22017_1x1_4.png?width=1080&height=1080,soft coral-peach,72,True,mac_sku_M22017_1x1_4.png,"[34.42489443560062, 19.135653458347253, 12.916154095881204]","[0.07559331302775618, 0.11585348776342597, 0.06227323199451962]",84.15519607176103,1,[58.86094684 26.74859391 18.13563164],24.09103007257856,0.1888642390597908,99.92409701532831,"[61.05051267519333, 16.867309647700445, 10.861829469921247]","[0.13074917079602955, 0.16977523278448314, 0.09502179373748199]",6.134141495451559,"[61.05051267519333, 16.867309647700445, 10.861829469921247]","[0.13074917079602955, 0.16977523278448314, 0.09502179373748199]",6.134141495451559,"[46, 32, 24]","{'id': 'msg_01F2PWcEBUGd2RJoK4P5fNJH', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[46, 32, 24]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 12}}",13.032542028196142,True,"{'id': 'msg_01PYMji77HANBWLo6PrQWicf', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[49, 29, 21]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[49, 29, 21]",True,9.620949701996423,#aa5f52,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#aa5f52;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
6,91,91,91,blush,ofra cosmetics liquid blush truly,ofra cosmetics,liquid blush,truly,https://images.ctfassets.net/jfmoo9v2wmty/6nQP37n1vBpgMUQC7vYeZT/1ef99410466fa2930d09ae467dea79b6/Truly-Liquid-Blush.png?w=700&fm=webp,warm tan peach,98,True,Truly-Liquid-Blush.png,"[49.05695438926547, 6.892550792553964, 3.767872862737498]","[0.015774540753881183, 0.0036397718459757478, 0.0011058016663290093]",72.82558921771019,1,[46.45324162 26.2576368  16.3013397 ],13.876429879650455,0.010609628434561,99.98420475216896,"[71.39335429383108, 9.612009989454052, 5.259562202947254]","[0.015774540753881183, 0.0036397718459757478, 0.0011058016663290093]",24.91934365287987,"[71.39335429383108, 9.612009989454052, 5.259562202947254]","[0.015774540753881183, 0.0036397718459757478, 0.0011058016663290093]",24.91934365287987,"[44.0, 38.0, 22.0]","{'id': 'msg_01QifUyuYjHNB4zgwYmjaV3A', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[44.0, 38.0, 22.0]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 18}}",5.455619187236328,True,"{'id': 'msg_01KS6EwrHwhBCQT8w83LMu2u', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[44, 34, 15]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[44, 34, 15]",True,4.777256365641048,#a14f50,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#a14f50;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
7,98,98,98,blush,persona dreamstick cream blush bloom,persona,dreamstick cream blush,bloom,https://personacosmetics.com/cdn/shop/files/Bloom_swatch2_1000x.jpg?v=1693408981,neutral peach with a slight pink undertone ideal for fair to medium-tan skin tones,105,True,Bloom_swatch2_1000x.jpg,"[71.4466834899062, 24.32895479267405, 14.455034276810563]","[99.9609520320943, 0.026581684997029065, 0.031998907758135076]",49.06184671873471,1,[58.62087297 44.20300719 27.70296321],13.564890529999644,99.96083727358314,0.0557448702940419,"[71.4466834899062, 24.32895479267416, 14.455034276810563]","[99.9609520320943, 0.026581684997029065, 0.031998907758135076]",13.56489052999962,"[67.90950460306743, 32.06412264532338, 20.495312170911895]","[99.95982704954216, 0.027523968366693907, 0.03284948130424237]",9.103811879100176,"[58, 45, 35]","{'id': 'msg_01QzmNEEB5bcXP7DJuyvWVf3', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[58, 45, 35]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 12}}",3.730079883926048,True,"{'id': 'msg_01FoE3M7aUnxpHKP1HMEKB9s', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[49, 49, 33]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[49, 49, 33]",True,9.54893906958962,#c74a3f,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c74a3f;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
8,103,103,103,blush,smith & cult flash flush cream velvet blush universal peach,smith & cult,flash flush cream velvet blush,universal peach,"https://images.ulta.com/is/image/Ulta/2543904?id=BJ_aL1&fmt=jpg&fit=constrain,1&wid=260&hei=271&op_sharpen=1&resMode=bilin",universal peach,110,True,ulta106.jpg,"[57.03262918176438, 12.647767859048088, 1.678738548844616]","[8.195362883853086, 3.1816933036463575, -3.752157290160346]",85.33047165340523,1,[61.10320734 46.35385564 18.6994699 ],16.588307696849625,7.223159137898337,88.30621039692427,"[57.03262918176438, 12.647767859048088, 1.678738548844616]","[8.195362883853086, 3.1816933036463575, -3.752157290160346]",16.588307696849625,"[57.032629181764364, 12.647767859048143, 1.6787385488445938]","[8.195362883853086, 3.1816933036463575, -3.752157290160346]",16.58830769684961,"[40, 50, 25]","{'id': 'msg_01PtsyzUTvZkiFfxre6WVtA6', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[40, 50, 25]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 112, 'output_tokens': 12}}",21.29993771592799,True,"{'id': 'msg_01Evw4PZHEmv3y9vgbYAnxhh', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[50, 45, 25]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 138, 'output_tokens': 12}}","[50, 45, 25]",True,11.098132094333108,#c3524f,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c3524f;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
9,120,120,120,lipstick,anastasia beverly hills satin lipstick peach amber,anastasia beverly hills,satin lipstick,peach amber,https://www.sephora.com/productimages/sku/s2519254-av-01-zoom.jpg?imwidth=1224,deep warm peach,129,True,s2519254-av-01-zoom.jpg,"[73.68063794541133, 16.536806773571776, 10.16751564525582]","[99.97253990315289, 0.008738249248019248, 0.014214767847930965]",48.48015776433787,1,[49.68273753 41.34578347 28.18672053],23.890956722913884,99.97247855946192,0.0249130539562137,"[73.68063794541133, 16.536806773571776, 10.16751564525582]","[99.97253990315289, 0.008738249248019248, 0.014214767847930965]",23.890956722913884,"[48.63861456931009, 38.502715358552486, 25.980072797990704]","[99.9025685609087, 0.03890193601097103, 0.03431684255443823]",1.5462983504194436,"[37.65, 50.71, 33.94]","{'id': 'msg_01ExPBLxDBjeGe8VV2Fpzdiz', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[37.65, 50.71, 33.94]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 113, 'output_tokens': 18}}",11.602555623377484,True,"{'id': 'msg_01SD7f2bSGyKbeyrAaP4aNZC', 'type': 'message', 'role': 'assistant', 'model': 'claude-3-opus-20240229', 'content': [{'type': 'text', 'text': '[46, 46, 25]'}], 'stop_reason': 'end_turn', 'stop_sequence': None, 'usage': {'input_tokens': 141, 'output_tokens': 12}}","[46, 46, 25]",True,4.890581914769284,#b94745,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#b94745;""></div>",0,#c13744,"<div style=""width:20px; height:20px; border-radius:50%; background-color:#c13744;""></div>"
