category,joined,brand,product,shade,shade_description,shade_description_original,img_url,discontinued,clean,bipoc-founded,skin_tones_1,skin_tones_2,undertones_1,finish_1,finish_2,finish_3,descriptor_1,descriptor_2,intensity_1,intensity_2,intensity_3,muted_1,muted_2,shimmer_1,shimmer_2,shimmer_3,adaptive
blush,100% pure fruit pigmented blush mauvette,100% pure,fruit pigmented blush,mauvette,plum mauve,plum-mauve,https://www.100percentpure.com/cdn/shop/files/1CBM_Fruit_Pigmented_Blush_Mauvette_Swatch_1260x.jpg?v=1695863200,,TRUE,TRUE,,,,,,,,,,,,,,,,,
blush,armani beauty neo nude melting color balm 50,armani beauty,neo nude melting color balm,50,mauve,cool mauve,https://www.giorgioarmanibeauty-usa.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-gab-master-catalog/default/dw95c50b81/2021/A2410/TEXTURES/GA_MakeUp2021_NeoNude_MeltingColorBalm_50_TXU_4935421771931_RVB_3000.jpg?sw=370&sh=370&sm=cut&sfrm=jpg&q=85,,,,,,cool,,,,,,,,,,,,,,
blush,au naturale the anywhere creme multistick sweetheart,au naturale,the anywhere creme multistick,sweetheart,nude mauve,soft nude mauve,"https://images.ulta.com/is/image/Ulta/2564199?id=XQHav2&fmt=jpg&fit=constrain,1&wid=174&hei=360&op_sharpen=1&resMode=bilin",,TRUE,,,,,,,,,,soft,,,,,,,,
blush,axiology color cream multi stick joy,axiology,color cream multi stick,joy,plum mauve,sophisticated mauve with hints of plum,https://credobeauty.com/cdn/shop/products/AxiologyMultistick-2-Cream_Joy_web_95199c0a-03f8-403f-b682-db09c7998457_990x.jpg?v=1707757578,,TRUE,,,,,,,,sophisticated,,,,,,,,,,
blush,bareminerals bounce & blur blush pink sky,bareminerals,bounce & blur blush,pink sky,rose mauve,rosey mauve,https://i5.walmartimages.com/seo/Bounce-and-Blur-Powder-Blush-Pink-Sky-by-bareMinerals-for-Women-0-19-oz-Blush_c66d2de7-48c7-47ab-8756-24c7eb1c2942.3d3e5b52bd0d9597b5c4325892d9c1c0.jpeg,TRUE,TRUE,,,,,,,,,,,,,,,,,,
blush,bareminerals gen nude blonzer blush + bronzer kiss of mauve,bareminerals,gen nude blonzer blush + bronzer,kiss of mauve,mauve,dusty mauve,https://www.sephora.com/productimages/sku/s2690618-av-2-zoom.jpg?imwidth=1224,,TRUE,,,,,,,,,,,,,dusty,,,,,
blush,bareminerals gen nude powder blush call my blush,bareminerals,gen nude powder blush,call my blush,pink mauve,delicate pink mauve,https://www.sephora.com/productimages/sku/s2040541-main-zoom.jpg?imwidth=1000,,TRUE,,,,,,,,,,delicate,,,,,,,,
blush,beauty by popsugar make me blush cheek color love note,beauty by popsugar,make me blush cheek color,love note,mauve,mauve,https://m.media-amazon.com/images/I/81cgYfnAcGL._SL1500_.jpg,TRUE,,,,,,,,,,,,,,,,,,,
blush,beautyblender bounce liquid whip cream blush flirty rose,beautyblender,bounce liquid whip cream blush,flirty rose,rose mauve,soft rosey mauve,https://beautyblender.com/cdn/shop/products/BOUNCE_Blush_FlirtyRose_Swatch_v1_RGB.jpg?v=1675277361&width=1200,,,TRUE,,,,,,,,,soft,,,,,,,,
blush,bobbi brown pot rouge for lips and cheeks blushed rose,bobbi brown,pot rouge for lips and cheeks,blushed rose,rose mauve,rosey mauve,https://www.bobbibrowncosmetics.com/media/export/cms/products/responsive/bb_sku_E80E41_1x1_1.png?width=1200&height=1200,,,,,,,,,,,,,,,,,,,,
blush,bobbi brown pot rouge for lips and cheeks pink flame,bobbi brown,pot rouge for lips and cheeks,pink flame,pink mauve,pink mauve,https://www.bobbibrowncosmetics.com/media/export/cms/products/responsive/bb_sku_E80E34_1x1_1.png?width=1200&height=1200,,,,,,,,,,,,,,,,,,,,
blush,butter london glazen blush gelee dazzle,butter london,glazen blush gelee,dazzle,mauve,radiant mauve,https://m.media-amazon.com/images/I/91iTrFsBH+L._SX522_.jpg,,,,,,,radiant,,,,,,,,,,,,,
blush,butter london plush rush blush & lip ecstatic,butter london,plush rush blush & lip,ecstatic,mauve,sultry mauve,,,,,,,,,,,sultry,,,,,,,,,,
blush,buxom wanderlust primer-infused blush dolly,buxom,wanderlust primer-infused blush,dolly,mauve,absolute mauve,https://www.sephora.com/productimages/sku/s2177152-main-zoom.jpg?imwidth=1000,,,,,,,,,,,,absolute,,,,,,,,
blush,cargo blush prague,cargo,blush,prague,mauve,soft matte mauve,,,,,,,,matte,,,,,soft,,,,,,,,
blush,code8 beauty blush palette merlot,code8 beauty,blush palette,merlot,mauve,mauves suitable for all skin tones,https://www.codeeight.com/media/catalog/product/cache/f666d5107f61c7b9bc4f4e2201916980/2/0/200116-code8-swatchs-blush-merlot.webp,,,,universal,,,,,,,,,,,,,,,,
blush,colourpop blush stix cool it,colourpop,blush stix,cool it,pink mauve,dusty pinky mauve,"https://images.ulta.com/is/image/Ulta/2550458?id=hVPaE1&fmt=jpg&fit=constrain,1&wid=84&hei=358&op_sharpen=1&resMode=bilin",,,,,,,,,,,,,,,dusty,,,,,
blush,colourpop pressed powder blush coast to coast,colourpop,pressed powder blush,coast to coast,mauve,matte soft mauve,,,,,,,,matte,,,,,soft,,,,,,,,
blush,colourpop pressed powder blush flirt alert,colourpop,pressed powder blush,flirt alert,mauve,dusty mauve,https://colourpop.com/cdn/shop/products/6810500300882-Flirt-Alert-PPBlushCompact-FlirtAlert-3.jpg?v=1675982880,,,,,,,,,,,,,,,dusty,,,,,
blush,"danessa myricks beauty colorfix multi-use eye, cheek & lip waterproof liquid pigment creme brulee",danessa myricks beauty,"colorfix multi-use eye, cheek & lip waterproof liquid pigment",creme brulee,mauve,muted mauve matte,https://danessamyricksbeauty.com/cdn/shop/files/COLORFIXMATTE-ALLURE-CREMEBRULEE_7196f09c-7a4b-4a8a-94d0-8ef10c6d8a59.png?v=1712585310&width=1500,,,TRUE,,,,matte,,,,,,,,muted,,,,,
blush,"danessa myricks beauty colorfix multi-use eye, cheek & lip waterproof liquid pigment cupcake",danessa myricks beauty,"colorfix multi-use eye, cheek & lip waterproof liquid pigment",cupcake,mauve,soft mauve glaze,,,,TRUE,,,,glaze,,,,,soft,,,,,,,,
blush,danessa myricks beauty luxe cream palette the feminist,danessa myricks beauty,luxe cream palette,the feminist,mauve,soft mauves,https://i1.wp.com/www.danessamyricksbeauty.com/wp-content/uploads/2019/01/LUXECREAMPALETTE-THENUDIST-00.jpg?fit=1200%2C1200&ssl=1,,,TRUE,,,,,,,,,soft,,,,,,,,
blush,dibs beauty desert island duo blush / bronzer stick 5.5 wine not / cocoa kiss,dibs beauty,desert island duo blush / bronzer stick,5.5 wine not / cocoa kiss,raspberry mauve,raspberry mauve,,,,TRUE,,,,,,,,,,,,,,,,,
blush,em cosmetics pillow plush blush tickled,em cosmetics,pillow plush blush,tickled,mauve,cool mauve,https://www.emcosmetics.com/cdn/shop/files/pillow_plush_blush_open_tickled.jpg?v=1690489430&width=1800,,,TRUE,,,cool,,,,,,,,,,,,,,
blush,essence pure nude baked blush goldy cassis,essence,pure nude baked blush,goldy cassis,mauve,deep mauve,,,,,,,,,,,,,deep,,,,,,,,
blush,estate blush sortbet liquid blush cherry,estate,blush sortbet liquid blush,cherry,rose mauve,rose mauve,,,,,,,,,,,,,,,,,,,,,
blush,estate blush sortbet liquid blush passion,estate,blush sortbet liquid blush,passion,nude mauve,nude mauve,,,,,,,,,,,,,,,,,,,,,
blush,estée lauder pure color envy sculpting blush 140 alluring rose,estée lauder,pure color envy sculpting blush,140 alluring rose,mauve,midtone mauve with a cool undertone,https://www.esteelauder.com/media/export/cms/products/640x640/el_sku_PKTJ13_640x640_1.jpg,,,,,,cool,,,,,,midtone,,,,,,,,
blush,estée lauder pure color envy sculpting blush 490 mauve mystique,estée lauder,pure color envy sculpting blush,490 mauve mystique,mauve,dusty mauve with a cool undertone,https://www.esteelauder.com/media/export/cms/products/640x640/el_sku_PKTJ16_640x640_1.jpg,,,,,,cool,,,,,,,,,dusty,,,,,
blush,et al. versatile blush cheek + eye rosewood,et al.,versatile blush cheek + eye,rosewood,mauve,rich mauve,,,,,,,,,,,,,rich,,,,,,,,
blush,fenty beauty by rihanna cheeks out freestyle cream blush 09 cool berry,fenty beauty by rihanna,cheeks out freestyle cream blush,09 cool berry,mauve,soft mauve with shimmer,https://www.sephora.com/productimages/sku/s2352730-main-zoom.jpg?imwidth=1000,,,TRUE,,,,shimmer,,,,,soft,,,,,,,,
blush,fenty beauty by rihanna cheeks out freestyle cream blush riri,fenty beauty by rihanna,cheeks out freestyle cream blush,riri,rose mauve,soft rose mauve,,,,TRUE,,,,,,,,,soft,,,,,,,,
blush,gerard cosmetics starlet palette honeymoon - first class,gerard cosmetics,starlet palette,honeymoon - first class,plum mauve,soft plum mauve,,,,,,,,,,,,,soft,,,,,,,,
blush,half caked candy paint cheek + lip tint 4 am,half caked,candy paint cheek + lip tint,4:00 AM,mauve,slightly warm soft mauve with a radiant finish,,,,,,,warm,radiant,,,,,soft,,,,,,,,
blush,han skincare cosmetics multistick rose berry,han skincare cosmetics,multistick,rose berry,rose mauve,rose mauve,"https://images.ulta.com/is/image/Ulta/2572430?id=amPaM3&fmt=jpg&fit=constrain,1&wid=260&hei=324&op_sharpen=1&resMode=bilin",,TRUE,TRUE,,,,,,,,,,,,,,,,,
blush,haus labs by lady gaga head rush blush + highlighter duo cherub,haus labs by lady gaga,head rush blush + highlighter duo,cherub,pink mauve,cool pink mauve,,,TRUE,,,,cool,,,,,,,,,,,,,,
blush,honest beauty lit powder blush femme,honest beauty,lit powder blush,femme,mauve,deep mauve with gold shimmer,,,,TRUE,,,,shimmer,,,,,deep,,,,,gold,,,
blush,hourglass ambient lighting blush rose fusion,hourglass,ambient lighting blush,rose fusion,mauve,cool mauve,,,,,,,cool,,,,,,,,,,,,,,
blush,ilia color haze multi-use pigment before today,ilia,color haze multi-use pigment,before today,mauve,dusty mauve with cool undertones,https://www.sephora.com/productimages/sku/s2199974-main-zoom.jpg?imwidth=1000,,TRUE,,,,cool,,,,,,,,,dusty,,,,,
blush,it cosmetics bye bye pores blush carefree,it cosmetics,bye bye pores blush,carefree,mauve,natural mauve,,,,,,,,,,,natural,,,,,,,,,,
blush,jillian dempsey cheek and lip tint bloom,jillian dempsey,cheek and lip tint,bloom,mauve,sheer mauve with subtle shimmer (works on most skin tones),https://www.mecca.com.au/on/demandware.static/-/Sites-mecca-online-catalog/default/dw733ff936/product/jillia/hr/i-042615-cheek-tint-blossom-1-940.jpg,,TRUE,,universal,,,sheer,shimmer,,,,,,,,,slight,,,
blush,jones road beauty lip and cheek stick mauve rose,jones road beauty,lip and cheek stick,mauve rose,mauve,dusty mauve,https://www.jonesroadbeauty.com/cdn/shop/products/JonesRoad_LipAndCheeck_MauveRose_01.jpg?v=1645735279&width=1000,,TRUE,,,,,,,,,,,,,dusty,,,,,
blush,kaja cheeky stamp blendable blush 02 saucy,kaja,cheeky stamp blendable blush,02 saucy,mauve,dusty mauve,https://www.sephora.com/productimages/sku/s2139871-main-zoom.jpg?imwidth=1000,,,TRUE,,,,,,,,,,,,dusty,,,,,
blush,kaja jelly charm glazed lip stain & blush with keychain 03 berry colada,kaja,jelly charm glazed lip stain & blush with keychain,03 berry colada,plum mauve,plum mauve,,,,TRUE,,,,,,,,,,,,,,,,,
blush,kiko milano mood boost radiant blush perfect mauve,kiko milano,mood boost radiant blush,perfect mauve,mauve,mauve,"https://images.ulta.com/is/image/Ulta/2580104?id=jssbb3&fmt=jpg&fit=constrain,1&wid=260&hei=249&op_sharpen=1&resMode=bilin",,,,,,,,,,,,,,,,,,,,
blush,kiko milano new green me blush 102 soft mauve,kiko milano,new green me blush,102 soft mauve,mauve,soft mauve,,,,,,,,,,,,,soft,,,,,,,,
blush,kiko milano new green me lips & cheeks pencil 102 mystic mauve,kiko milano,new green me lips & cheeks pencil,102 mystic mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,kiko milano powder creamy blush 01 mauve,kiko milano,powder creamy blush,01 mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,kiko milano smart colour blush 06 mauve,kiko milano,smart colour blush,06 mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,kiko milano unexpected paradise 3d blush 03 aspirational mauve,kiko milano,unexpected paradise 3d blush,03 aspirational mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,kiko milano unlimited blush 05 mauve,kiko milano,unlimited blush,05 mauve,mauve,mauve,,,,,,,,,,,,,,,,,,,,,
blush,kulfi mehndi moment long-lasting radiant cream blush sandalwood swirls,kulfi,mehndi moment long-lasting radiant cream blush,sandalwood swirls,mauve,neutral mauve,,,TRUE,TRUE,,,neutral,,,,,,,,,,,,,,
blush,laura lee los angeles blush aesthetic palette caramel cream,laura lee los angeles,blush aesthetic palette,caramel cream,mauve,matte deep mauve,,,,,,,,matte,,,,,deep,,,,,,,,
blush,laura mercier creme cheek color blush rosebud,laura mercier,creme cheek color blush,rosebud,mauve,clean mauve,,,,,,,,,,,clean,,,,,,,,,,
blush,lys beauty higher standard satin matte cream blush self love,lys beauty,higher standard satin matte cream blush,self love,rose mauve,rosey mauve,,,TRUE,TRUE,,,,,,,,,,,,,,,,,
