shade_name,color_family,finish,L_star,a_star,b_star,hue_deg,saturation,brightness,wax_pct,emollient_oil_pct,mattifying_agent_pct,film_former_pct,pigment_pct,additives_pct
Crush,Pink,Glasting,54.95,22.46,11.57,27.25,37.9,53.26,2.28,65.6,0,28.2,2.09,1.83
Espresso Brick,Orange,Matte,52.51,27.15,26.65,44.47,57.07,50.5,14.95,60.83,6.37,3.26,12.46,2.13
Blush Rosewood,Brown,Glossy,52.62,22.13,19.19,40.93,43.94,48.66,2.09,79.47,0,13.03,3.87,1.54
Caramel Mousse,Nude,Glasting,62.76,7.02,21.4,71.84,33.78,58.64,1.4,62.14,0,30.36,4.27,1.83
Nude,Coral,Matte,65.56,38.89,38.14,44.44,81.71,63.66,14.36,62.81,6.83,5.42,8.03,2.55
Espresso Velvet,Nude,Glasting,63.3,12.18,19.61,58.16,34.63,60.85,1.68,60.12,0,33.66,2.54,2
Ruby,Berry,Glossy,31.25,35.23,8.82,14.06,54.48,32.6,2.28,76.84,0,15.08,3.39,2.41
Dusty Glow,Brown,Glossy,48.16,29.18,14.6,26.58,48.94,44.88,4.42,73.48,0,13.22,5.92,2.96
Sienna Jam,Pink,Matte,62.3,19.43,10.25,27.81,32.95,59.39,13.51,60.76,5.93,4.86,12.15,2.79
Peachy Mousse,Pink,Satin,54.86,36.51,10.95,16.69,57.18,50.43,9.81,75.72,1.56,4.8,6.18,1.93
Plum,Coral,Glossy,52.51,32.26,27.35,40.29,63.44,48.15,2.24,81.3,0,10.61,3.93,1.92
Velvet,Pink,Satin,58.99,35.69,10.36,16.19,55.74,53.9,10.04,74.8,1.05,4.73,7.48,1.9
Terracotta Souffle,Red,Glasting,44.16,49.18,23.57,25.61,81.8,42.45,2.87,60.23,0,30.87,4.27,1.76
Ruby Chiffon,Brown,Matte,42.49,23.39,24.09,45.84,50.37,42.53,14.92,62.18,4.57,5.97,9.9,2.46
Burgundy Mousse,Coral,Glossy,58.75,26.46,29.63,48.23,59.59,58.79,3.67,72.87,0,15.06,5.74,2.66
Sunset Nectar,Coral,Glossy,65.77,25.26,36.41,55.25,66.47,63.57,2.69,80.39,0,11.89,3.13,1.9
Espresso Jam,Nude,Glasting,62.76,8.82,10.21,49.18,20.24,56.64,1.42,58.3,0,33.01,5.3,1.97
Sangria Nectar,Mauve,Glasting,63.72,28.15,3.38,6.85,42.53,61.29,2.31,58.8,0,33.32,3.38,2.19
Crush Radiance,Pink,Glossy,52.75,33.25,9.01,15.16,51.67,51.78,2.79,77.96,0,13.37,3.99,1.89
Sunset Bare,Orange,Satin,59.82,27.57,29.26,46.7,60.3,59.74,9.84,72.94,1.85,4.77,7.6,3
Light Pink,Nude,Satin,70.29,17.31,9.2,27.99,29.4,66.69,9.54,76.81,0.64,4.38,6.19,2.44
Red Delight,Nude,Glasting,59.8,11.18,15.7,54.55,28.91,55.4,2.58,65.36,0,26.51,3.48,2.07
Silk Fudge,Brown,Matte,56.72,27.84,23.04,39.61,54.21,55.16,15.98,58.21,5.85,5.58,12.86,1.52
Blossom Spark,Pink,Matte,59.32,20.42,4.92,13.55,31.51,55.38,14.88,61.79,6.39,3.8,10.68,2.46
Glow,Red,Glossy,38.74,33.63,27.62,39.4,65.28,35.18,2.33,77.28,0,12.72,4.74,2.93
Maple,Mauve,Glasting,54.28,31.38,4.79,8.68,47.62,49.36,2.75,62.56,0,30,2.92,1.77
Velvet Bite,Terracotta,Glasting,54.12,28.73,15.05,27.65,48.65,49,2.83,61.27,0,28.39,5.05,2.46
Cinnamon Glaze,Coral,Glasting,59.47,41.77,35.47,40.34,82.2,59.4,2.22,60.84,0,32.1,2.53,2.31
Pink Silk,Nude,Glossy,62.75,16.2,11.48,35.32,29.78,57.75,4.34,78.55,0,10,5.12,1.99
Chestnut Blaze,Nude,Satin,61.9,8.25,20.93,68.49,33.75,58.46,7.58,72.15,1.89,6.91,9.51,1.96
Blush,Pink,Satin,67.99,34.72,14.6,22.81,56.5,67.15,7.73,74.13,1.82,4.3,9.79,2.23
Mahogany Kiss,Peach,Satin,70.63,7.14,8.03,48.36,16.12,66.44,7.78,74.86,1.64,4.45,9.06,2.21
Amber Pop,Pink,Matte,67.23,37.91,9.22,13.67,58.52,65.18,14.2,62.42,4.93,4.27,12.36,1.82
Burgundy,Nude,Glasting,71.56,12.53,15.59,51.21,30,69.47,2.08,63.79,0,27.61,4.55,1.97
Berry Silk,Nude,Glasting,65.04,16.09,10.2,32.37,28.58,64.55,2.99,60.96,0,29.5,4.27,2.28
Red Souffle,Peach,Glossy,71.18,12.41,16.1,52.37,30.49,64.86,2.36,79.33,0,12.03,3.9,2.38
Nude Divine,Nude,Glasting,65.91,9.11,11.65,51.98,22.18,63.63,1.46,66.75,0,26.57,2.77,2.45
Terracotta Mist,Orange,Matte,66.86,46.52,22.19,25.5,77.31,64.24,12.92,62.54,7.17,3.21,12.3,1.86
Latte,Peach,Glossy,71.07,16.45,20.31,50.99,39.2,66.73,4.01,78.44,0,10.79,3.86,2.9
Cappucino Truffle,Pink,Glossy,62.66,30.23,14.83,26.13,50.51,60.45,3.71,73.98,0,14.71,4.89,2.71
Caramel,Berry,Matte,41.94,40.78,-0.12,359.83,61.17,37.54,12.76,66.27,4.34,4.27,10.16,2.2
Pink,Pink,Glossy,55.07,22.21,6.46,16.22,34.7,53.44,4.19,72.57,0,15.9,5.69,1.65
Rust Radiance,Pink,Satin,66.3,34.92,3.2,5.24,52.6,62.53,9.11,73.77,1.01,4.87,9.45,1.79
Tomato,Orange,Matte,64.34,39.65,27.24,34.49,72.16,62.57,13.79,64.71,5.48,3.75,9.39,2.88
Blush Fudge,Berry,Satin,32.01,40.9,7.67,10.62,62.42,28.3,9.27,73.56,1.79,4.18,8.2,3
Maple Spark,Nude,Matte,60.07,6.66,12.32,61.61,21.01,59.46,15.34,57.34,7.39,5.55,12.63,1.75
Peachy Glow,Peach,Matte,65.84,16.37,21.63,52.88,40.69,64.04,13.94,66.05,4.75,3.18,10.01,2.07
Jazz,Peach,Satin,68.31,9.32,21.03,66.1,34.5,66.71,11.44,70.8,0.9,5.59,9.14,2.13
Wine,Red,Satin,48.39,34.49,32.44,43.25,71.02,48.12,11.33,70.22,1.99,6.51,8.22,1.73
Dusty Rosewood,Nude,Glossy,64.44,8.97,19.13,64.88,31.69,59.58,2.89,74.45,0,13.48,6.87,2.31
Peach Rosewood,Nude,Matte,61.9,5.9,18.83,72.6,29.6,57.91,14.99,62.6,4.2,4.51,10.92,2.78
Brick Breeze,Pink,Matte,65.19,24.62,2.36,5.48,37.1,64.19,12.63,65.66,7.36,3.56,8.4,2.39
Rust Mulberry,Terracotta,Glossy,57.7,15.65,21.55,54.01,39.95,53.89,4.03,78.47,0,10.72,3.94,2.84
Plum Fudge,Pink,Glasting,59.21,25.7,9.5,20.29,41.1,54.78,1.49,61.34,0,30.96,4.08,2.13
Toffee,Brown,Glossy,56.66,24.15,23.51,44.23,50.56,55.28,3.75,73.74,0,15.61,5.09,1.81
Sienna Rosewood,Pink,Glossy,51.26,31.28,6.29,11.37,47.86,47.58,4.15,77.02,0,12.37,3.95,2.51
Coral Mist,Terracotta,Glasting,52,20.55,23.16,48.42,46.44,49.73,1.6,61.67,0,32.01,3.11,1.61
Rose Divine,Coral,Glasting,58.07,42.21,25.48,31.12,73.96,55.58,1.92,57.01,0,33.97,5.49,1.61
Blossom Spell,Peach,Glossy,62.25,7.73,19,67.86,30.77,59.78,2.64,74.88,0,15.6,4.06,2.82
Plum Satin,Berry,Matte,42.16,32.22,9.11,15.79,50.22,42.81,15.52,62.34,5.29,5.5,8.79,2.56
Wine Mousse,Peach,Glasting,61.97,13.63,16.67,50.73,32.3,56.43,2.22,59.58,0,31.23,5.46,1.51
Bordeaux Souffle,Pink,Glossy,54.04,21.98,2.32,6.03,33.15,49.81,4.45,74.46,0,13.98,4.2,2.91
Mahogany Crush,Brown,Satin,55.95,24.79,23.49,43.46,51.23,52.46,8.04,77.01,0.67,5.94,6.43,1.91
Blossom,Peach,Glasting,67.63,16.6,20.05,50.38,39.05,66.56,2.21,63.2,0,27.63,4.51,2.45
Carnation,Nude,Matte,69.26,14.05,14.5,45.9,30.29,66.14,13.06,61.52,5.71,5.54,12.53,1.64
Coral,Pink,Glossy,58.36,28.62,9.27,17.95,45.13,54.35,3.27,79.94,0,10.02,4.11,2.66
Bordeaux Truffle,Nude,Satin,68.07,11.56,19.63,59.51,34.17,64.95,10.05,72.03,0.89,5.93,8.96,2.14
Cappucino Pout,Mauve,Satin,63.53,34.8,5.61,9.16,52.87,62.02,7.54,72.84,0.61,7.16,9.53,2.32
Crimson,Red,Matte,36.32,38.57,20.43,27.91,65.47,33.42,15.34,64.54,6.04,3.38,8.74,1.96
Espresso,Pink,Glasting,54.16,31.88,11.18,19.33,50.68,48.84,2.8,56.67,0,32.89,4.79,2.85
Mocha Charm,Mauve,Satin,57.48,22.14,7.46,18.62,35.04,57.04,8.34,74.82,0.87,6.73,6.41,2.83
Glow Bloom,Red,Satin,48.02,40.75,15.12,20.36,65.2,44.73,9.13,72.77,1.43,7.25,6.62,2.8
Bordeaux Temptation,Pink,Glossy,67.16,26.38,11.72,23.95,43.3,64.08,4.93,72,0,15.29,6.24,1.54
Silk Chiffon,Coral,Matte,56.37,36.17,29.78,39.47,70.28,54.56,14.95,59.03,5.16,5.41,12.65,2.8
Blossom Mousse,Nude,Satin,70.87,17.75,15.48,41.09,35.33,69.77,10.74,72.02,0.9,4.38,9.15,2.81
Glow Bite,Terracotta,Glossy,41.51,22.29,25.87,49.25,51.22,37.52,4.58,74.44,0,14.9,3.89,2.19
Rust Temptation,Nude,Satin,64.37,9.39,20.31,65.19,33.56,59.82,8.72,76.81,1.69,4.08,6.91,1.79
Mocha Nectar,Plum,Glossy,38.47,36.98,-1.27,358.03,55.5,39.26,2.98,72.84,0,15.8,6.46,1.92
Dusty Crush,Orange,Glasting,62.43,42.35,40.99,44.07,88.41,57.5,2.28,58.17,0,33.85,3.4,2.3
Peach,Brown,Matte,48.52,16.94,27.16,58.05,48.01,45.88,15.76,60.51,4.4,3.54,12.85,2.94
Rust,Pink,Matte,60.93,32.96,3.49,6.04,49.72,59.8,13.06,65.23,4.38,5.19,10.17,1.97
Light Pink Glow,Coral,Matte,66.86,38.24,40.16,46.4,83.18,62.77,14.42,63.25,5.79,4.73,9.93,1.88
Honey,Nude,Glasting,68.81,16.05,16.41,45.64,34.43,63.1,2.42,59.86,0,33.4,2.01,2.31
Velvet Dusk,Pink,Glossy,57.71,25.41,8.58,18.66,40.23,53.87,4.16,73.8,0,14.02,5.97,2.05
Mocha,Nude,Matte,71.45,13.26,19.6,55.92,35.5,69.12,12.28,65.04,6.32,3.94,9.65,2.77
Cinnamon Mulberry,Orange,Glossy,67.45,31.21,38.16,50.72,73.95,64.31,4.16,77.67,0,11.86,4.2,2.11
Mahogany Satin,Red,Glossy,47.43,38.17,32.03,40,74.74,47.04,3.21,79.72,0,10.76,4.18,2.13
Nude Jam,Coral,Glossy,55.9,35.69,34.21,43.79,74.16,52.38,4.82,71.63,0,15.42,5.71,2.42
Peach Dream,Orange,Satin,54.91,29.88,37.96,51.79,72.46,51.21,8.7,76.84,1.32,5,6,2.14
Silk Jam,Terracotta,Glossy,49.3,18.25,15.86,40.99,36.27,46.27,3.74,75.69,0,12.79,5.62,2.16
Blush Souffle,Pink,Glossy,61.63,27.82,12.31,23.87,45.63,56.11,2.64,74.37,0,15.41,4.89,2.69
Dusty Breeze,Terracotta,Glasting,45.51,24.89,19.57,38.18,47.49,43.42,1.34,63.79,0,30.12,2.3,2.45
Cinnamon Spell,Brown,Matte,52.65,19.61,16.02,39.25,37.98,47.74,13.34,61.18,6.86,5.02,11.76,1.84
Rose,Peach,Matte,65.5,14.91,10.59,35.38,27.43,60.52,12.8,66.69,4.09,4.43,9.22,2.77
Mahogany Jam,Red,Glossy,51.6,44.07,20.66,25.12,73.01,46.62,2.22,77.55,0,13.78,4.66,1.79
Berry,Nude,Glasting,71.22,13.29,18.54,54.37,34.22,65.27,2.39,63.45,0,27.95,3.73,2.48
Mahogany Truffle,Terracotta,Matte,57.38,19.29,25.79,53.2,48.31,52.2,12.02,64.04,6.63,3.32,11.85,2.14
Red Breeze,Pink,Satin,60.39,31.73,3.97,7.13,47.97,59.24,8.2,75.74,1.94,4.18,8.07,1.87
Light Pink Brick,Orange,Glasting,53.9,42.58,34.13,38.71,81.86,52.95,2.7,58.79,0,32.41,3.6,2.5
Dusty Aura,Berry,Glasting,46.35,27.95,6.24,12.59,42.96,43.61,2.98,56.5,0,33.6,4.08,2.84
Velvet Silk,Coral,Glossy,63.84,46.79,26.16,29.21,80.41,58.91,3.84,74.5,0,13.03,5.88,2.75
Sienna,Brown,Glasting,43.13,16.28,12.04,36.49,30.37,40.68,2.1,58.6,0,31.95,5.14,2.21
Silk,Coral,Glossy,55.7,41.26,36.06,41.15,82.2,52.64,2.78,76.75,0,13.83,3.99,2.65
Maroon Chiffon,Nude,Matte,69.03,13.13,17.26,52.74,32.53,68.18,14.09,65.19,6.19,3.23,9.37,1.93
Cinnamon Velvet,Nude,Glossy,67.07,16.81,19.57,49.34,38.7,61.14,2.82,77.95,0,13.24,4.28,1.71
Cappucino Mist,Red,Matte,49.01,53.19,23.78,24.09,87.4,46.37,12.93,63.81,6.43,3.19,11.53,2.11
Light Pink Breeze,Coral,Glossy,60.01,36.36,23.61,33,65.03,54.25,3.63,78.34,0,11.24,4.66,2.13
