formula_id,predicted_L_star,predicted_a_star,predicted_b_star,hardness,payoff
F001,29.77,52.09,13.66,65.2,5.0
F002,38.48,39.11,25.54,67.13,4.47
F003,47.05,25.52,13.43,39.47,3.6
F004,33.26,42.76,17.92,55.39,3.94
F005,38.89,26.7,19.74,48.86,4.43
F006,56.46,17.78,6.12,62.86,4.51
F007,36.18,36.56,12.24,71.3,4.58
F008,35.11,30.29,13.07,57.82,3.44
F009,40.02,28.01,10.97,66.51,3.96
F010,62.62,6.88,7.13,63.18,2.94
F011,36.38,43.68,24.56,58.42,5.0
F012,39.79,30.22,3.83,47.19,4.22
F013,53.25,27.64,16.78,51.36,4.59
F014,36.66,35.88,19.3,60.78,4.6
F015,63.22,13.46,16.48,56.79,3.96
F016,54.73,22.52,12.23,65.45,4.31
F017,56.46,12.35,22.46,67.23,3.19
F018,47.08,31.45,14.43,68.5,4.77
F019,42.33,36.46,16.15,73.31,5.0
F020,59.21,8.97,19.73,76.85,4.28
F021,39.87,32.14,16.05,62.65,5.0
F022,38.78,38.41,18.69,69.38,4.1
F023,43.66,33.19,15.59,66.87,4.92
F024,49.74,24.82,9.19,47.21,4.46
F025,41.03,37.86,21.39,51.32,4.66
F026,39.36,35.39,12.83,56.23,4.77
F027,58.05,14.24,26.68,54.85,3.81
F028,30.37,45.07,16.29,68.28,5.0
F029,26.39,50.33,19.72,76.39,5.0
F030,57.28,19.94,10.64,72.77,3.52
F031,61.13,12.98,6.05,55.44,2.54
F032,69.83,5.97,5.76,71.74,3.24
F033,57.65,29.41,25.41,73.7,4.91
F034,41.38,31.47,5.65,44.68,4.12
F035,45.0,31.71,19.39,63.01,4.13
F036,37.99,30.42,10.02,51.47,3.71
F037,40.3,34.97,7.71,53.98,5.0
F038,49.38,21.21,20.8,78.65,4.42
F039,55.57,11.74,18.39,49.81,3.71
F040,55.48,13.13,10.76,73.07,3.68
F041,28.2,39.55,19.57,74.49,4.38
F042,55.83,22.84,23.11,65.44,3.47
F043,63.05,9.38,10.39,68.99,2.5
F044,41.44,24.79,20.89,76.6,4.22
F045,46.22,17.25,6.3,69.29,3.35
F046,63.42,5.42,11.56,50.99,3.55
F047,52.88,21.48,15.24,67.37,4.2
F048,38.29,37.34,13.85,63.25,4.09
F049,65.18,13.27,9.32,71.56,4.28
F050,51.54,20.61,17.75,61.01,3.78
F051,48.99,22.19,13.16,62.35,3.52
F052,63.78,0.98,11.0,55.14,4.2
F053,42.64,34.38,20.81,56.16,5.0
F054,58.71,17.23,7.63,58.07,4.44
F055,51.86,15.82,11.87,59.43,3.01
F056,39.18,40.81,10.47,60.85,4.76
F057,65.56,6.73,9.76,55.45,4.49
F058,48.79,30.66,14.33,50.03,5.0
F059,47.1,26.0,20.33,64.03,4.38
F060,36.16,40.11,12.61,68.56,4.73
F061,40.36,30.82,12.63,56.77,4.3
F062,36.84,33.56,26.94,50.95,5.0
F063,61.3,15.7,19.04,57.08,3.61
F064,48.37,23.26,11.02,50.24,3.25
F065,60.82,5.38,18.54,72.42,3.99
F066,41.1,30.57,18.81,65.0,4.01
F067,60.5,16.75,19.7,59.21,3.66
F068,58.58,6.67,4.78,58.69,4.06
F069,60.62,6.38,14.99,57.55,3.83
F070,38.8,28.1,13.74,69.6,4.23
F071,51.35,28.06,20.05,48.2,4.66
F072,58.01,10.31,15.22,57.9,4.53
F073,46.21,22.52,9.83,51.96,3.85
F074,50.14,14.74,16.63,72.24,3.78
F075,36.01,42.94,18.39,60.68,4.82
F076,34.28,40.64,14.06,57.16,4.03
F077,62.06,7.25,21.89,52.92,3.79
F078,41.76,40.41,22.76,50.78,5.0
F079,30.82,40.45,19.81,62.3,3.88
F080,33.46,39.65,11.72,48.5,4.68
F081,57.32,13.17,13.81,56.35,4.44
F082,55.87,10.15,8.9,52.14,3.72
F083,63.29,4.06,9.48,65.41,3.53
F084,55.27,24.49,19.48,66.86,3.69
F085,58.11,11.31,20.11,63.86,3.47
F086,33.1,38.52,9.44,60.19,4.75
F087,37.73,36.07,8.34,48.03,4.39
F088,53.03,21.45,10.64,72.83,4.26
F089,45.52,27.29,16.72,61.09,5.0
F090,45.02,31.29,16.07,71.85,3.68
F091,33.38,41.7,21.32,60.08,5.0
F092,42.55,39.08,13.7,64.81,3.92
F093,34.54,42.57,16.89,57.05,5.0
F094,37.07,42.63,18.27,44.58,5.0
F095,39.31,34.58,23.85,68.33,5.0
F096,40.71,38.54,14.36,70.29,3.78
F097,27.95,45.86,20.23,66.54,3.97
F098,47.94,18.87,15.79,51.98,4.63
F099,34.05,38.78,20.74,68.54,5.0
F100,65.26,5.8,11.64,68.28,3.28
F101,61.35,9.94,17.8,55.82,3.74
F102,49.48,21.26,6.18,58.23,4.48
F103,63.09,6.47,5.46,76.59,4.87
F104,38.67,34.71,23.62,63.92,4.68
F105,59.65,7.7,13.05,56.69,4.11
F106,43.19,33.57,7.9,70.39,4.55
F107,60.85,14.34,15.13,50.58,4.51
F108,52.65,21.8,18.41,56.96,4.69
F109,56.02,13.18,7.44,57.79,4.36
F110,41.46,32.18,24.24,57.72,4.94
F111,42.04,23.35,10.95,55.06,3.33
F112,56.67,19.29,19.03,60.04,3.57
F113,56.66,12.91,13.56,66.33,4.36
F114,52.4,18.94,18.47,59.44,4.41
F115,52.24,14.24,19.03,70.44,3.67
F116,40.38,29.59,14.79,42.01,5.0
F117,52.96,18.41,9.44,63.44,3.3
F118,29.92,33.27,10.29,48.69,3.71
F119,36.83,33.46,19.49,62.13,5.0
F120,31.05,42.68,17.9,70.03,5.0
F121,49.27,24.34,18.84,77.78,4.66
F122,41.07,24.81,18.1,45.51,5.0
F123,38.87,34.78,14.63,61.04,4.63
F124,45.81,30.36,16.3,63.83,4.86
F125,51.49,21.66,8.69,64.31,5.0
F126,53.6,13.04,15.11,70.82,4.74
F127,31.97,43.1,21.05,58.13,5.0
F128,36.47,36.99,17.22,63.79,4.41
F129,58.04,14.08,4.93,46.87,3.03
F130,46.11,26.12,13.27,78.37,4.25
F131,34.98,42.25,20.57,63.17,5.0
F132,40.24,27.83,9.58,67.52,4.33
F133,23.49,43.38,23.94,63.03,4.57
F134,29.38,42.45,18.51,64.88,5.0
F135,44.48,30.64,12.51,58.4,4.12
F136,29.88,44.06,19.33,57.83,4.78
F137,64.01,18.99,14.67,45.59,4.18
F138,30.51,40.45,10.69,54.9,4.51
F139,57.42,14.84,18.17,65.07,4.41
F140,41.04,32.1,17.13,63.08,4.04
F141,41.88,33.09,15.28,68.08,5.0
F142,57.16,8.74,9.23,60.95,3.83
F143,42.43,25.5,8.53,58.28,3.8
F144,55.04,11.23,21.04,59.38,3.72
F145,39.28,34.55,11.1,68.93,3.91
F146,57.55,14.73,23.08,53.99,4.16
F147,45.57,18.17,15.61,74.91,3.85
F148,35.59,33.73,20.18,65.43,4.99
F149,44.39,31.42,24.6,54.62,4.83
F150,32.1,32.87,17.93,63.38,3.95
F151,44.27,39.41,11.21,52.96,4.76
F152,60.52,20.31,11.31,60.75,3.29
F153,63.56,7.11,17.46,58.59,2.91
F154,61.29,12.09,14.52,64.55,3.65
F155,44.2,22.16,15.13,63.62,5.0
F156,54.15,14.12,12.03,63.23,3.39
F157,47.66,26.85,11.64,55.35,3.61
F158,28.12,48.44,16.72,71.18,4.57
F159,49.89,22.48,6.88,55.85,4.73
F160,56.91,11.73,9.75,71.25,3.89
F161,30.12,38.15,18.66,67.86,5.0
F162,44.22,29.73,12.97,80.14,4.09
F163,46.0,30.99,22.09,50.23,4.75
F164,51.37,21.51,17.78,44.91,4.11
F165,53.72,15.97,9.79,57.57,4.61
F166,67.47,4.0,7.23,49.0,3.53
F167,33.55,40.45,15.23,74.94,4.72
F168,62.07,11.6,22.11,64.56,3.68
F169,48.35,26.17,16.46,58.54,3.1
F170,41.96,31.99,13.68,68.46,4.7
F171,64.45,14.02,7.18,70.97,3.75
F172,36.44,35.2,16.27,55.26,4.31
F173,47.1,33.44,11.64,58.95,4.87
F174,32.68,39.41,19.3,55.95,5.0
F175,62.2,16.04,8.9,57.65,3.49
F176,57.72,17.9,10.26,48.72,3.68
F177,39.16,30.88,13.25,45.73,5.0
F178,65.41,5.12,9.12,52.98,2.68
F179,60.59,13.33,15.28,68.34,4.01
F180,63.59,5.51,4.36,75.64,4.03
F181,48.47,24.81,15.25,71.86,4.52
F182,51.82,29.58,8.99,45.16,4.32
F183,29.04,42.71,6.52,58.71,4.96
F184,60.12,5.86,19.76,62.73,3.86
F185,47.21,20.87,17.62,48.3,3.83
F186,44.5,26.76,9.19,60.38,4.26
F187,54.06,21.16,12.55,68.29,2.51
F188,53.19,18.49,18.27,62.1,4.04
F189,50.47,18.19,7.22,49.06,4.63
F190,26.39,46.43,24.12,62.04,5.0
F191,56.7,18.83,22.58,55.33,4.43
F192,50.67,15.64,17.65,68.22,4.61
F193,45.7,25.82,12.6,56.96,4.15
F194,59.83,9.5,6.57,69.24,3.61
F195,52.07,20.53,17.23,61.74,3.35
F196,44.65,29.87,18.15,58.95,4.39
F197,53.31,15.85,13.21,66.4,3.68
F198,47.98,24.27,18.06,68.62,4.79
F199,29.08,40.01,16.96,71.5,5.0
F200,57.84,13.33,11.44,50.61,4.01
