formula_id,wax_pct,oil_pct,emollient_pct,film_former_pct,other_base_pct,red_pigment_pct,yellow_pigment_pct,blue_pigment_pct,black_pigment_pct,white_pigment_pct
F001,16.0407,44.6538,20.5959,2.7824,4.5579,7.0246,1.0049,0.5514,0.0761,2.7123
F002,16.4312,44.2555,19.9578,5.7307,5.5072,4.8718,2.2631,0.0024,0.2304,0.7499
F003,11.2444,50.1671,15.8618,5.944,10.4318,3.0422,1.1715,0.9559,0.4232,0.7581
F004,12.4265,45.6538,25.2541,3.6146,5.8349,6.1689,0.5472,0.1195,0.3052,0.0754
F005,11.847,45.8966,22.3567,4.7127,5.8868,3.5791,1.9982,1.2477,0.4104,2.0647
F006,16.7449,46.4363,15.9431,6.6217,9.0219,1.8797,0.0591,0.8844,0.214,2.1951
F007,16.8093,42.7992,20.6574,7.5927,3.8644,5.2334,1.037,0.8039,0.3144,0.8883
F008,15.8354,47.2506,16.4961,4.0272,8.545,4.5062,1.7003,1.214,0.056,0.3691
F009,15.3056,45.5358,23.2145,2.9139,6.6372,3.9768,0.6731,0.7777,0.3202,0.6453
F010,15.6118,45.913,28.8472,3.8224,4.6169,0.2532,0.1619,0.345,0.3651,0.0636
F011,14.3178,41.7778,22.1704,2.6121,8.4467,4.8105,2.5552,0.3919,0.5057,2.4118
F012,11.6757,46.478,25.3297,3.9702,6.3341,4.2194,0.1859,1.62,0.0974,0.0894
F013,10.2224,41.7273,24.2694,6.208,9.5523,3.26,1.3703,0.5892,0.0236,2.7774
F014,14.7558,44.1805,21.2861,6.3069,4.8286,4.4992,2.2523,1.3461,0.0046,0.54
F015,13.5304,46.9326,24.2251,4.8884,4.4074,1.0884,1.8852,0.3097,0.2718,2.4611
F016,15.409,47.7792,18.0434,3.8414,9.2644,2.5399,0.5578,0.1864,0.0558,2.3226
F017,16.4853,47.326,22.13,3.0597,7.1958,0.3979,3.0729,0.0963,0.2343,0.0019
F018,16.8533,38.7909,25.0889,2.2968,9.0484,4.0763,0.7752,0.3141,0.185,2.5713
F019,19.1914,42.7422,21.0529,3.6206,4.3828,4.4057,1.1786,0.384,0.4918,2.55
F020,17.3562,38.1513,25.8909,5.2247,6.9967,0.0681,2.887,0.8746,0.4423,2.1082
F021,16.022,44.4194,23.6899,3.0603,4.3199,4.1835,1.4719,0.8794,0.3467,1.607
F022,16.6197,40.5595,24.0503,2.5879,7.5832,5.445,0.7729,0.4998,0.1557,1.7258
F023,14.7957,40.7284,26.5961,3.3626,7.4947,3.9693,0.136,0.1597,0.5404,2.2172
F024,11.0018,50.263,21.5197,2.5457,8.3198,3.2101,0.6587,1.4106,0.1561,0.9146
F025,12.0316,45.9371,21.7886,6.4352,4.5485,4.6599,1.6979,0.4573,0.0175,2.4265
F026,12.084,45.0556,20.7556,2.0486,10.0902,4.9496,1.4784,1.0338,0.2414,2.2629
F027,12.801,48.1951,21.2168,4.9683,7.1125,0.9924,3.3861,0.0269,0.0058,1.295
F028,16.2067,40.8279,22.0219,6.0805,3.9625,6.3975,1.0941,1.0437,0.06,2.3054
F029,19.0803,41.7339,18.5498,3.8851,3.5181,6.75,2.0481,1.0398,0.547,2.8478
F030,18.7311,45.4754,20.8122,3.9231,6.1555,2.5147,0.4764,0.6056,0.2534,1.0526
F031,12.8139,45.9481,22.4178,6.3416,9.0294,1.3763,0.1244,0.5157,0.0889,1.3437
F032,19.8081,41.8891,20.2012,6.248,7.2906,0.2927,0.5387,1.5581,0.0573,2.1161
F033,17.4861,41.7194,23.8136,3.0496,5.344,2.0023,3.1993,0.3445,0.0691,2.9721
F034,10.9155,46.5684,20.7813,4.72,7.9816,4.2095,0.3204,1.4488,0.4551,2.5993
F035,15.7475,45.042,21.4085,2.1812,6.8299,3.9348,2.0776,0.5238,0.2477,2.007
F036,13.8633,51.0402,22.7719,2.0716,3.2659,4.2765,1.2782,1.3002,0.0893,0.0428
F037,12.5683,44.1567,23.7057,6.1556,6.1271,4.6773,0.2024,0.8233,0.4432,1.1405
F038,19.0963,41.3773,17.3417,4.994,10.0993,2.0172,2.5927,0.2741,0.4026,1.8049
F039,11.9237,47.8733,23.1542,4.7874,4.7885,0.8302,3.0036,1.0289,0.4232,2.1869
F040,18.9808,42.7145,22.7844,6.0877,4.2486,1.0266,2.17,1.4867,0.3768,0.1239
F041,18.2015,38.0072,17.7528,7.0444,8.6043,5.758,2.4795,1.0017,0.1458,1.0048
F042,17.4675,47.6077,18.4778,3.842,5.0518,1.9445,2.5657,0.0157,0.2167,2.8107
F043,17.3801,50.6052,21.9642,2.8717,5.5401,0.6578,0.4606,0.2973,0.183,0.0401
F044,19.1282,40.055,20.4653,6.9527,4.071,3.1534,2.7542,0.9079,0.1143,2.398
F045,18.0142,47.141,18.0284,2.3777,10.2341,2.2494,0.4819,0.9069,0.5368,0.0297
F046,11.5367,45.5497,24.0245,4.8364,10.249,0.292,1.1266,0.5819,0.1878,1.6153
F047,17.1081,41.6769,23.5221,2.8635,7.2574,2.3585,1.6953,0.1694,0.4996,2.8491
F048,16.9422,49.356,16.795,4.6086,5.3295,5.4304,0.5796,0.3365,0.3502,0.272
F049,16.9801,41.7807,23.1371,6.8152,7.7811,1.3663,0.1579,0.0717,0.0475,1.8624
F050,15.3671,46.4492,20.6643,8.1043,4.6053,2.1981,1.7,0.0008,0.5534,0.3573
F051,14.9383,42.9342,22.3117,5.0796,8.1028,2.4422,1.4167,1.017,0.2746,1.4828
F052,14.1663,47.29,22.6099,2.4896,7.204,0.0202,2.0621,1.2847,0.3419,2.5311
F053,10.9052,39.14,23.9744,6.5588,8.7501,4.3381,2.3142,1.2098,0.395,2.4144
F054,12.5023,42.4319,21.9675,5.4744,9.842,2.3704,0.9742,1.3836,0.1472,2.9066
