consumer_id,shade_id,skin_tone,consumer_undertone,age_group,hedonic_score
C001,S362,Fair,Neutral,18-24,5
C001,S074,Fair,Neutral,18-24,5
C001,S375,Fair,Neutral,18-24,6
C001,S156,Fair,Neutral,18-24,5
C001,S105,Fair,Neutral,18-24,8
C001,S395,Fair,Neutral,18-24,7
C001,S378,Fair,Neutral,18-24,5
C001,S125,Fair,Neutral,18-24,5
C001,S069,Fair,Neutral,18-24,6
C001,S451,Fair,Neutral,18-24,6
C001,S010,Fair,Neutral,18-24,8
C001,S195,Fair,Neutral,18-24,4
C001,S407,Fair,Neutral,18-24,7
C001,S085,Fair,Neutral,18-24,6
C001,S372,Fair,Neutral,18-24,7
C001,S389,Fair,Neutral,18-24,5
C001,S496,Fair,Neutral,18-24,9
C001,S031,Fair,Neutral,18-24,5
C001,S317,Fair,Neutral,18-24,5
C001,S409,Fair,Neutral,18-24,5
C001,S491,Fair,Neutral,18-24,6
C001,S492,Fair,Neutral,18-24,5
C001,S281,Fair,Neutral,18-24,8
C001,S357,Fair,Neutral,18-24,3
C001,S077,Fair,Neutral,18-24,5
C001,S462,Fair,Neutral,18-24,7
C001,S498,Fair,Neutral,18-24,6
C001,S212,Fair,Neutral,18-24,5
C001,S102,Fair,Neutral,18-24,7
C001,S335,Fair,Neutral,18-24,9
C001,S476,Fair,Neutral,18-24,6
C001,S337,Fair,Neutral,18-24,9
C001,S441,Fair,Neutral,18-24,7
C001,S174,Fair,Neutral,18-24,6
C001,S003,Fair,Neutral,18-24,6
C001,S334,Fair,Neutral,18-24,6
C001,S410,Fair,Neutral,18-24,5
C001,S071,Fair,Neutral,18-24,5
C001,S210,Fair,Neutral,18-24,7
C001,S064,Fair,Neutral,18-24,7
C001,S385,Fair,Neutral,18-24,6
C001,S094,Fair,Neutral,18-24,7
C001,S486,Fair,Neutral,18-24,7
C001,S186,Fair,Neutral,18-24,5
C001,S034,Fair,Neutral,18-24,6
C001,S078,Fair,Neutral,18-24,3
C001,S001,Fair,Neutral,18-24,6
C001,S012,Fair,Neutral,18-24,7
C001,S416,Fair,Neutral,18-24,5
C001,S023,Fair,Neutral,18-24,7
C002,S362,Tan,Neutral,18-24,7
C002,S074,Tan,Neutral,18-24,4
C002,S375,Tan,Neutral,18-24,6
C002,S156,Tan,Neutral,18-24,8
C002,S105,Tan,Neutral,18-24,7
C002,S395,Tan,Neutral,18-24,7
C002,S378,Tan,Neutral,18-24,6
C002,S125,Tan,Neutral,18-24,6
C002,S069,Tan,Neutral,18-24,8
C002,S451,Tan,Neutral,18-24,7
C002,S010,Tan,Neutral,18-24,5
C002,S195,Tan,Neutral,18-24,5
C002,S407,Tan,Neutral,18-24,6
C002,S085,Tan,Neutral,18-24,7
C002,S372,Tan,Neutral,18-24,8
C002,S389,Tan,Neutral,18-24,9
C002,S496,Tan,Neutral,18-24,7
C002,S031,Tan,Neutral,18-24,6
C002,S317,Tan,Neutral,18-24,5
C002,S409,Tan,Neutral,18-24,6
C002,S491,Tan,Neutral,18-24,6
C002,S492,Tan,Neutral,18-24,6
C002,S281,Tan,Neutral,18-24,3
C002,S357,Tan,Neutral,18-24,6
C002,S077,Tan,Neutral,18-24,6
C002,S462,Tan,Neutral,18-24,5
C002,S498,Tan,Neutral,18-24,7
C002,S212,Tan,Neutral,18-24,5
C002,S102,Tan,Neutral,18-24,5
C002,S335,Tan,Neutral,18-24,6
C002,S476,Tan,Neutral,18-24,7
C002,S337,Tan,Neutral,18-24,8
C002,S441,Tan,Neutral,18-24,7
C002,S174,Tan,Neutral,18-24,6
C002,S003,Tan,Neutral,18-24,6
C002,S334,Tan,Neutral,18-24,5
C002,S410,Tan,Neutral,18-24,5
C002,S071,Tan,Neutral,18-24,6
C002,S210,Tan,Neutral,18-24,8
C002,S064,Tan,Neutral,18-24,6
C002,S385,Tan,Neutral,18-24,8
C002,S094,Tan,Neutral,18-24,6
C002,S486,Tan,Neutral,18-24,3
C002,S186,Tan,Neutral,18-24,7
C002,S034,Tan,Neutral,18-24,6
C002,S078,Tan,Neutral,18-24,6
C002,S001,Tan,Neutral,18-24,6
C002,S012,Tan,Neutral,18-24,8
C002,S416,Tan,Neutral,18-24,8
C002,S023,Tan,Neutral,18-24,6
C003,S362,Medium,Cool,18-24,6
C003,S074,Medium,Cool,18-24,5
C003,S375,Medium,Cool,18-24,5
C003,S156,Medium,Cool,18-24,5
C003,S105,Medium,Cool,18-24,5
C003,S395,Medium,Cool,18-24,6
C003,S378,Medium,Cool,18-24,6
C003,S125,Medium,Cool,18-24,5
C003,S069,Medium,Cool,18-24,6
C003,S451,Medium,Cool,18-24,7
C003,S010,Medium,Cool,18-24,6
C003,S195,Medium,Cool,18-24,5
C003,S407,Medium,Cool,18-24,7
C003,S085,Medium,Cool,18-24,7
C003,S372,Medium,Cool,18-24,5
C003,S389,Medium,Cool,18-24,5
C003,S496,Medium,Cool,18-24,6
C003,S031,Medium,Cool,18-24,6
C003,S317,Medium,Cool,18-24,8
C003,S409,Medium,Cool,18-24,5
C003,S491,Medium,Cool,18-24,7
C003,S492,Medium,Cool,18-24,6
C003,S281,Medium,Cool,18-24,5
C003,S357,Medium,Cool,18-24,5
C003,S077,Medium,Cool,18-24,6
C003,S462,Medium,Cool,18-24,8
C003,S498,Medium,Cool,18-24,6
C003,S212,Medium,Cool,18-24,6
C003,S102,Medium,Cool,18-24,5
C003,S335,Medium,Cool,18-24,6
C003,S476,Medium,Cool,18-24,5
C003,S337,Medium,Cool,18-24,6
C003,S441,Medium,Cool,18-24,6
C003,S174,Medium,Cool,18-24,8
C003,S003,Medium,Cool,18-24,7
C003,S334,Medium,Cool,18-24,6
C003,S410,Medium,Cool,18-24,6
C003,S071,Medium,Cool,18-24,7
C003,S210,Medium,Cool,18-24,6
C003,S064,Medium,Cool,18-24,7
C003,S385,Medium,Cool,18-24,5
C003,S094,Medium,Cool,18-24,9
C003,S486,Medium,Cool,18-24,5
C003,S186,Medium,Cool,18-24,4
C003,S034,Medium,Cool,18-24,9
C003,S078,Medium,Cool,18-24,5
C003,S001,Medium,Cool,18-24,6
C003,S012,Medium,Cool,18-24,6
C003,S416,Medium,Cool,18-24,7
C003,S023,Medium,Cool,18-24,6
C004,S362,Tan,Neutral,18-24,8
C004,S074,Tan,Neutral,18-24,6
C004,S375,Tan,Neutral,18-24,6
C004,S156,Tan,Neutral,18-24,8
C004,S105,Tan,Neutral,18-24,7
C004,S395,Tan,Neutral,18-24,5
C004,S378,Tan,Neutral,18-24,4
C004,S125,Tan,Neutral,18-24,4
C004,S069,Tan,Neutral,18-24,5
C004,S451,Tan,Neutral,18-24,7
C004,S010,Tan,Neutral,18-24,5
C004,S195,Tan,Neutral,18-24,4
C004,S407,Tan,Neutral,18-24,4
C004,S085,Tan,Neutral,18-24,5
C004,S372,Tan,Neutral,18-24,8
C004,S389,Tan,Neutral,18-24,8
C004,S496,Tan,Neutral,18-24,7
C004,S031,Tan,Neutral,18-24,5
C004,S317,Tan,Neutral,18-24,7
C004,S409,Tan,Neutral,18-24,7
C004,S491,Tan,Neutral,18-24,5
C004,S492,Tan,Neutral,18-24,5
C004,S281,Tan,Neutral,18-24,5
C004,S357,Tan,Neutral,18-24,4
C004,S077,Tan,Neutral,18-24,6
C004,S462,Tan,Neutral,18-24,5
C004,S498,Tan,Neutral,18-24,5
C004,S212,Tan,Neutral,18-24,6
C004,S102,Tan,Neutral,18-24,6
C004,S335,Tan,Neutral,18-24,6
C004,S476,Tan,Neutral,18-24,5
C004,S337,Tan,Neutral,18-24,6
C004,S441,Tan,Neutral,18-24,6
C004,S174,Tan,Neutral,18-24,5
C004,S003,Tan,Neutral,18-24,5
C004,S334,Tan,Neutral,18-24,5
C004,S410,Tan,Neutral,18-24,3
C004,S071,Tan,Neutral,18-24,6
C004,S210,Tan,Neutral,18-24,8
C004,S064,Tan,Neutral,18-24,6
C004,S385,Tan,Neutral,18-24,9
C004,S094,Tan,Neutral,18-24,7
C004,S486,Tan,Neutral,18-24,7
C004,S186,Tan,Neutral,18-24,7
C004,S034,Tan,Neutral,18-24,7
C004,S078,Tan,Neutral,18-24,5
C004,S001,Tan,Neutral,18-24,4
C004,S012,Tan,Neutral,18-24,6
C004,S416,Tan,Neutral,18-24,8
C004,S023,Tan,Neutral,18-24,6
C005,S362,Light,Neutral,18-24,6
C005,S074,Light,Neutral,18-24,6
C005,S375,Light,Neutral,18-24,6
C005,S156,Light,Neutral,18-24,6
C005,S105,Light,Neutral,18-24,6
C005,S395,Light,Neutral,18-24,6
C005,S378,Light,Neutral,18-24,6
C005,S125,Light,Neutral,18-24,5
C005,S069,Light,Neutral,18-24,5
C005,S451,Light,Neutral,18-24,5
C005,S010,Light,Neutral,18-24,5
C005,S195,Light,Neutral,18-24,4
C005,S407,Light,Neutral,18-24,4
C005,S085,Light,Neutral,18-24,4
C005,S372,Light,Neutral,18-24,7
C005,S389,Light,Neutral,18-24,5
C005,S496,Light,Neutral,18-24,8
C005,S031,Light,Neutral,18-24,6
C005,S317,Light,Neutral,18-24,8
C005,S409,Light,Neutral,18-24,5
C005,S491,Light,Neutral,18-24,6
C005,S492,Light,Neutral,18-24,7
C005,S281,Light,Neutral,18-24,7
C005,S357,Light,Neutral,18-24,4
C005,S077,Light,Neutral,18-24,6
C005,S462,Light,Neutral,18-24,6
C005,S498,Light,Neutral,18-24,8
C005,S212,Light,Neutral,18-24,4
C005,S102,Light,Neutral,18-24,5
C005,S335,Light,Neutral,18-24,7
C005,S476,Light,Neutral,18-24,7
C005,S337,Light,Neutral,18-24,8
C005,S441,Light,Neutral,18-24,7
C005,S174,Light,Neutral,18-24,6
C005,S003,Light,Neutral,18-24,7
C005,S334,Light,Neutral,18-24,7
C005,S410,Light,Neutral,18-24,6
C005,S071,Light,Neutral,18-24,5
