consumer_id,shade_id,skin_tone,consumer_undertone,age_group,hedonic_score,image_file,color_family,undertone,finish,L_star,a_star,b_star,hue_deg,saturation,brightness
C001,S362,Fair,Neutral,18-24,5,IMG_362.png,Coral,Warm,Glossy,44.59,39.79,42.75,47.06,100.0,42.55
C001,S074,Fair,Neutral,18-24,5,IMG_074.png,Brown,Warm,Satin,33.57,18.57,30.19,58.4,74.8,34.04
C001,S375,Fair,Neutral,18-24,6,IMG_375.png,Mauve,Warm,Matte,48.6,21.85,14.88,34.26,58.85,46.15
C001,S156,Fair,Neutral,18-24,5,IMG_156.png,Berry,Cool,Matte,49.66,32.99,2.37,4.12,81.61,49.8
C001,S105,Fair,Neutral,18-24,8,IMG_105.png,Orange,Neutral,Satin,43.96,31.98,45.0,54.6,95.09,43.2
C001,S395,Fair,Neutral,18-24,7,IMG_395.png,Pink,Neutral,Matte,63.76,31.9,3.06,5.49,67.76,62.34
C001,S378,Fair,Neutral,18-24,5,IMG_378.png,Plum,Cool,Satin,34.57,36.3,-11.39,342.58,79.39,34.97
C001,S125,Fair,Neutral,18-24,5,IMG_125.png,Brown,Warm,Satin,37.1,19.35,27.23,54.6,83.32,36.88
C001,S069,Fair,Neutral,18-24,6,IMG_069.png,Mauve,Warm,Satin,50.92,23.73,4.49,10.72,61.53,52.34
C001,S451,Fair,Neutral,18-24,6,IMG_451.png,Berry,Warm,Satin,46.36,43.95,-0.07,359.91,87.49,43.78
C001,S010,Fair,Neutral,18-24,8,IMG_010.png,Orange,Cool,Matte,64.14,27.86,33.47,50.22,86.36,65.06
C001,S195,Fair,Neutral,18-24,4,IMG_195.png,Plum,Warm,Matte,30.1,24.27,-9.32,338.99,62.78,30.42
C001,S407,Fair,Neutral,18-24,7,IMG_407.png,Coral,Cool,Matte,45.34,34.17,21.6,32.3,88.31,44.23
C001,S085,Fair,Neutral,18-24,6,IMG_085.png,Orange,Warm,Satin,44.61,33.92,42.86,51.64,93.54,46.28
C001,S372,Fair,Neutral,18-24,7,IMG_372.png,Berry,Neutral,Satin,51.76,37.7,9.95,14.78,80.47,50.23
C001,S389,Fair,Neutral,18-24,5,IMG_389.png,Berry,Neutral,Glossy,37.98,38.26,-5.12,352.38,79.83,35.73
C001,S496,Fair,Neutral,18-24,9,IMG_496.png,Orange,Neutral,Satin,63.61,26.61,43.06,58.29,94.45,62.31
C001,S031,Fair,Neutral,18-24,5,IMG_031.png,Plum,Neutral,Satin,29.74,29.53,-15.0,333.07,69.1,34.0
C001,S317,Fair,Neutral,18-24,5,IMG_317.png,Nude,Warm,Glossy,49.49,17.95,18.57,45.98,72.61,52.36
C001,S409,Fair,Neutral,18-24,5,IMG_409.png,Red,Neutral,Glossy,41.5,45.1,20.21,24.14,94.06,40.62
C001,S491,Fair,Neutral,18-24,6,IMG_491.png,Coral,Cool,Matte,63.93,27.99,18.86,33.97,73.98,62.27
C001,S492,Fair,Neutral,18-24,5,IMG_492.png,Mauve,Warm,Glossy,55.1,22.72,7.8,18.95,61.46,53.01
C001,S281,Fair,Neutral,18-24,8,IMG_281.png,Orange,Warm,Matte,60.83,29.03,43.83,56.48,100.0,60.4
C001,S357,Fair,Neutral,18-24,3,IMG_357.png,Brown,Cool,Matte,26.54,8.39,10.47,51.3,56.74,27.15
C001,S077,Fair,Neutral,18-24,5,IMG_077.png,Mauve,Warm,Matte,41.89,27.69,3.2,6.6,63.54,42.78
C001,S462,Fair,Neutral,18-24,7,IMG_462.png,Orange,Cool,Matte,62.73,31.4,31.55,45.13,93.64,64.55
C001,S498,Fair,Neutral,18-24,6,IMG_498.png,Pink,Neutral,Matte,62.17,31.28,11.43,20.08,85.25,62.51
C001,S212,Fair,Neutral,18-24,5,IMG_212.png,Plum,Cool,Matte,36.22,24.36,-15.0,328.38,59.84,36.7
C001,S102,Fair,Neutral,18-24,7,IMG_102.png,Orange,Neutral,Satin,67.72,35.5,37.34,46.45,90.45,67.09
C001,S335,Fair,Neutral,18-24,9,IMG_335.png,Orange,Neutral,Glossy,65.14,24.44,42.18,59.91,99.55,65.56
C001,S476,Fair,Neutral,18-24,6,IMG_476.png,Mauve,Warm,Matte,60.59,26.41,8.59,18.01,68.95,60.25
C001,S337,Fair,Neutral,18-24,9,IMG_337.png,Pink,Neutral,Satin,60.41,30.57,8.81,16.07,80.2,58.23
C001,S441,Fair,Neutral,18-24,7,IMG_441.png,Coral,Neutral,Satin,50.89,43.17,19.48,24.29,96.73,50.39
C001,S174,Fair,Neutral,18-24,6,IMG_174.png,Coral,Cool,Matte,60.02,33.42,19.58,30.36,79.89,60.94
C001,S003,Fair,Neutral,18-24,6,IMG_003.png,Nude,Cool,Glossy,61.7,15.08,5.74,20.85,56.97,60.84
C001,S334,Fair,Neutral,18-24,6,IMG_334.png,Pink,Warm,Glossy,53.81,29.68,12.52,22.87,80.21,54.8
C001,S410,Fair,Neutral,18-24,5,IMG_410.png,Pink,Cool,Glossy,72.37,34.7,6.55,10.69,81.42,73.34
C001,S071,Fair,Neutral,18-24,5,IMG_071.png,Mauve,Warm,Matte,46.67,24.65,9.83,21.74,65.36,48.47
C001,S210,Fair,Neutral,18-24,7,IMG_210.png,Mauve,Neutral,Satin,48.16,28.2,0.31,0.63,72.26,47.88
C001,S064,Fair,Neutral,18-24,7,IMG_064.png,Nude,Neutral,Matte,57.68,8.49,1.18,7.9,46.71,62.52
C001,S385,Fair,Neutral,18-24,6,IMG_385.png,Berry,Warm,Satin,54.08,40.96,-4.88,353.21,89.28,56.18
C001,S094,Fair,Neutral,18-24,7,IMG_094.png,Nude,Cool,Matte,52.28,4.76,16.16,73.58,53.43,48.56
C001,S486,Fair,Neutral,18-24,7,IMG_486.png,Coral,Cool,Satin,56.54,36.42,21.42,30.47,88.45,57.18
C001,S186,Fair,Neutral,18-24,5,IMG_186.png,Plum,Neutral,Satin,36.97,30.89,-11.08,340.27,75.99,35.73
C001,S034,Fair,Neutral,18-24,6,IMG_034.png,Mauve,Cool,Matte,54.83,30.06,0.19,0.36,73.34,54.83
C001,S078,Fair,Neutral,18-24,3,IMG_078.png,Plum,Warm,Satin,39.28,31.21,-5.96,349.19,72.75,39.35
