shade_id,image_file,color_family,undertone,finish,L_star,a_star,b_star,hue_deg,saturation,brightness
S001,IMG_001.png,Nude,Neutral,Glossy,67.64,6.24,9.49,56.65,53.13,67.01
S002,IMG_002.png,Brown,Cool,Satin,45.28,18.89,10.22,28.41,65.96,43.56
S003,IMG_003.png,Nude,Cool,Glossy,61.7,15.08,5.74,20.85,56.97,60.84
S004,IMG_004.png,Coral,Cool,Satin,60.19,40.06,24.43,31.37,89.59,59.17
S005,IMG_005.png,Plum,Neutral,Matte,34.32,25.8,-12.12,334.83,74.61,35.8
S006,IMG_006.png,Red,Warm,Satin,48.26,38.67,23.1,30.85,90.64,50.0
S007,IMG_007.png,Orange,Cool,Matte,61.73,33.16,24.81,36.81,83.2,60.46
S008,IMG_008.png,Pink,Cool,Matte,54.81,34.84,-6.24,349.85,79.75,55.98
S009,IMG_009.png,Nude,Cool,Matte,59.23,20.29,8.78,23.39,58.65,57.39
S010,IMG_010.png,Orange,Cool,Matte,64.14,27.86,33.47,50.22,86.36,65.06
S011,IMG_011.png,Mauve,Cool,Matte,44.82,27.43,-3.85,352.01,72.88,45.72
S012,IMG_012.png,Pink,Neutral,Matte,57.46,29.6,-0.44,359.15,65.33,54.81
S013,IMG_013.png,Red,Warm,Satin,42.73,48.5,21.8,24.21,93.82,42.32
S014,IMG_014.png,Plum,Cool,Glossy,40.04,21.36,-10.72,333.34,63.32,37.15
S015,IMG_015.png,Nude,Warm,Satin,62.13,24.01,17.23,35.66,73.4,62.57
S016,IMG_016.png,Brown,Neutral,Matte,42.14,22.32,10.06,24.26,63.73,40.29
S017,IMG_017.png,Plum,Neutral,Satin,33.67,22.65,-13.08,329.99,70.33,35.34
S018,IMG_018.png,Orange,Neutral,Satin,62.49,25.05,27.34,47.5,82.13,60.86
S019,IMG_019.png,Coral,Neutral,Matte,64.4,38.79,27.21,35.05,86.94,61.05
S020,IMG_020.png,Coral,Neutral,Matte,59.68,46.84,28.65,31.45,100.0,58.69
S021,IMG_021.png,Plum,Cool,Satin,47.77,25.89,-7.39,344.06,74.28,48.54
S022,IMG_022.png,Mauve,Neutral,Matte,48.07,27.23,0.73,1.53,63.84,45.52
S023,IMG_023.png,Pink,Warm,Glossy,59.29,31.43,20.39,32.97,79.16,61.5
S024,IMG_024.png,Plum,Cool,Satin,36.1,23.88,-15.0,327.86,79.64,35.74
S025,IMG_025.png,Brown,Neutral,Glossy,48.43,10.53,19.22,61.29,62.13,48.42
S026,IMG_026.png,Pink,Cool,Matte,68.44,30.45,8.61,15.79,74.57,66.76
S027,IMG_027.png,Brown,Cool,Glossy,45.5,8.37,13.53,58.27,59.95,44.53
S028,IMG_028.png,Orange,Cool,Satin,63.23,36.69,30.6,39.83,91.43,63.71
S029,IMG_029.png,Pink,Cool,Matte,61.37,42.59,10.72,14.13,86.87,58.44
S030,IMG_030.png,Orange,Warm,Matte,67.24,26.35,37.89,55.18,89.96,65.11
S031,IMG_031.png,Plum,Neutral,Satin,29.74,29.53,-15.0,333.07,69.1,34.0
S032,IMG_032.png,Berry,Cool,Satin,53.02,50.0,-12.83,345.61,98.49,56.48
S033,IMG_033.png,Mauve,Cool,Glossy,54.61,23.12,-0.25,359.39,64.24,54.08
S034,IMG_034.png,Mauve,Cool,Matte,54.83,30.06,0.19,0.36,73.34,54.83
S035,IMG_035.png,Berry,Cool,Matte,58.88,48.47,1.79,2.11,89.53,56.66
S036,IMG_036.png,Berry,Warm,Matte,44.88,29.28,9.15,17.36,68.19,43.94
S037,IMG_037.png,Orange,Neutral,Satin,59.38,28.74,38.76,53.45,100.0,54.25
S038,IMG_038.png,Berry,Neutral,Satin,43.78,36.14,-10.78,343.39,83.13,47.23
S039,IMG_039.png,Red,Neutral,Matte,44.63,36.74,16.33,23.96,90.72,45.8
S040,IMG_040.png,Red,Neutral,Matte,47.63,50.0,20.19,21.99,100.0,47.04
S041,IMG_041.png,Brown,Cool,Satin,32.93,18.91,9.97,27.81,67.27,36.57
S042,IMG_042.png,Orange,Cool,Glossy,59.6,24.14,30.44,51.58,85.92,58.2
S043,IMG_043.png,Plum,Cool,Satin,30.97,31.56,-7.09,347.35,64.12,31.58
S044,IMG_044.png,Plum,Warm,Satin,44.7,19.68,-8.36,337.0,55.61,47.65
S045,IMG_045.png,Coral,Neutral,Satin,62.88,43.34,29.16,33.94,98.64,63.42
S046,IMG_046.png,Orange,Neutral,Matte,59.08,31.92,43.0,53.41,93.61,58.83
S047,IMG_047.png,Pink,Neutral,Glossy,61.21,34.22,8.06,13.25,85.32,62.93
S048,IMG_048.png,Brown,Warm,Matte,53.97,13.97,10.92,38.01,57.22,54.18
S049,IMG_049.png,Nude,Warm,Matte,52.39,12.03,24.79,64.12,71.69,49.57
S050,IMG_050.png,Coral,Warm,Glossy,55.17,40.3,38.51,43.7,98.0,55.45
