shade_id,mean_hedonic,median_hedonic,n_ratings
S001,5.84,6.0,100
S003,5.93,6.0,100
S010,5.76,6.0,100
S012,6.55,7.0,100
S023,6.37,6.0,100
S031,5.08,5.0,100
S034,6.55,6.0,100
S064,6.46,7.0,100
S069,6.54,7.0,100
S071,6.35,6.0,100
S074,5.38,5.0,100
S077,5.97,6.0,100
S078,5.81,6.0,100
S085,6.08,6.0,100
S094,6.35,6.0,100
S102,5.67,6.0,100
S105,6.19,6.0,100
S125,5.72,6.0,100
S156,6.28,6.0,100
S174,6.06,6.0,100
S186,5.48,6.0,100
S195,5.01,5.0,100
S210,6.6,7.0,100
S212,5.42,5.0,100
S281,6.16,6.0,100
S317,6.35,6.0,100
S334,6.36,6.0,100
S335,5.92,6.0,100
S337,6.31,6.0,100
S357,5.06,5.0,100
S362,6.24,6.0,100
S372,6.62,7.0,100
S375,6.41,6.0,100
S378,5.13,5.0,100
S385,6.7,7.0,100
S389,5.82,6.0,100
S395,6.05,6.0,100
S407,6.16,6.0,100
S409,5.89,6.0,100
S410,5.33,5.0,100
S416,6.14,6.0,100
S441,6.43,7.0,100
S451,6.36,6.0,100
S462,5.93,6.0,100
S476,6.3,6.0,100
S486,6.31,6.0,100
S491,5.83,6.0,100
S492,6.56,6.0,100
S496,5.92,6.0,100
S498,6.28,6.0,100
